key,kind,left_pattern_id,right_pattern_id,gap_bucket,left_pattern,right_pattern,train_support,valid_support,npmi,heldout_log_rate_diff,document_count,document_coverage
40960258,hetero,625,32,2,'.\n' --d=2--> ' ',' ' --d=1--> ' ',25,8,0.27343348,0.22610009,28,0.00280000
9175192,hetero,140,19,0,'3' --d=1--> '.',' ' --d=3--> '.',25,8,0.18475594,0.22610009,31,0.00310000
2097808,hetero,32,82,0,' ' --d=1--> ' ','2' --d=1--> '.',25,10,0.17490001,0.44924364,32,0.00320000
5374089,hetero,82,17,1,'2' --d=1--> '.',' ' --d=2--> '.',25,5,0.16892052,0.24390354,30,0.00300000
12648698,hetero,193,31,2,'9' --d=1--> '9','1' --d=1--> '9',25,8,0.16429829,0.22610009,32,0.00320000
2097632,hetero,32,60,0,' ' --d=1--> ' ',' ' --d=2--> '2',25,7,0.13483461,0.09256870,30,0.00300000
11600010,hetero,177,17,2,'0' --d=1--> '.',' ' --d=2--> '.',25,5,0.13178192,0.24390354,19,0.00190000
2425129,self,37,37,1,' ' --d=2--> '9',' ' --d=2--> '9',25,9,0.12253216,0.34388313,31,0.00310000
464386,hetero,7,704,2,'2' --d=1--> '0','-' --d=1--> '0',25,5,0.11577671,0.24390354,17,0.00170000
328402,hetero,5,90,2,' ' --d=1--> '2',' ' --d=3--> ' ',25,12,0.10932609,0.63156520,31,0.00310000
1114480,hetero,17,46,0,' ' --d=2--> '.','.' --d=1--> ' ',25,6,0.10693899,0.06158198,24,0.00240000
331034,hetero,5,419,2,' ' --d=1--> '2','2' --d=1--> '3',25,6,0.10015019,0.06158198,30,0.00300000
8847729,hetero,135,46,1,'.' --d=2--> '\xa0','.' --d=1--> ' ',24,12,0.21709082,0.67238720,32,0.00320000
1245554,hetero,19,46,2,' ' --d=3--> '.','.' --d=1--> ' ',24,9,0.16010022,0.38470512,25,0.00250000
4456704,hetero,68,32,0,'1' --d=1--> '.',' ' --d=1--> ' ',24,6,0.15474178,0.02075999,26,0.00260000
5374088,hetero,82,17,0,'2' --d=1--> '.',' ' --d=2--> '.',24,7,0.14917208,0.13339069,28,0.00280000
3932417,hetero,60,32,1,' ' --d=2--> '2',' ' --d=1--> ' ',24,9,0.14477450,0.38470512,30,0.00300000
1114657,hetero,17,68,1,' ' --d=2--> '.','1' --d=1--> '.',24,8,0.14265933,0.26692209,31,0.00310000
3146274,hetero,48,68,2,' ' --d=2--> '1','1' --d=1--> '.',24,6,0.13834183,0.02075999,30,0.00300000
1704155,hetero,26,27,3,'0' --d=1--> '1','1' --d=1--> '0',24,6,0.13683805,0.02075999,29,0.00290000
11730970,hetero,179,3,2,' ' --d=3--> '2',' ' --d=1--> '1',24,7,0.12231814,0.13339069,31,0.00310000
1705066,hetero,26,141,2,'0' --d=1--> '1','0' --d=2--> '1',24,7,0.11819712,0.13339069,27,0.00270000
1179793,self,18,18,1,'.' --d=1--> ' The','.' --d=1--> ' The',24,6,0.11799480,0.02075999,29,0.00290000
3473577,hetero,53,21,1,"',' --d=2--> '2'","',' --d=1--> ' '",24,5,0.11197305,0.20308154,26,0.00260000
1573057,self,24,24,1,' ' --d=1--> '3',' ' --d=1--> '3',24,9,0.11165359,0.38470512,30,0.00300000
3014808,hetero,46,19,0,'.' --d=1--> ' ',' ' --d=3--> '.',24,10,0.11136321,0.49006564,26,0.00260000
12715537,self,194,194,1,'\n' --d=1--> ' ','\n' --d=1--> ' ',23,5,0.35118881,0.16052193,23,0.00230000
2893298,hetero,44,1214,2,' ' --d=1--> '\xa0',' ' --d=2--> 'I',23,7,0.32795763,0.17595031,23,0.00230000
3342746,self,51,51,2,"' it' --d=1--> ""'s""","' it' --d=1--> ""'s""",23,5,0.13035771,0.16052193,26,0.00260000
1245728,hetero,19,68,0,' ' --d=3--> '.','1' --d=1--> '.',23,7,0.12882107,0.17595031,28,0.00280000
463634,hetero,7,610,2,'2' --d=1--> '0','0' --d=2--> '-',23,5,0.12546898,0.16052193,21,0.00210000
459331,hetero,7,72,3,'2' --d=1--> '0','1' --d=1--> '2',23,8,0.11420686,0.30948170,30,0.00300000
1114512,hetero,17,50,0,' ' --d=2--> '.',' ' --d=1--> '4',23,8,0.11223153,0.30948170,29,0.00290000
46137402,hetero,704,7,2,'-' --d=1--> '0','2' --d=1--> '0',23,5,0.10963904,0.16052193,19,0.00190000
