model_seed,step,set_name,split_id,layer,token_count,c_norm,cos_to_set_global,common_margin,common_winner,set_global_margin,set_global_winner,winner_matches_set_global
0,300,primary,3,0,32768,10.091493606567383,0.9978891611099243,0.35974472761154175,4,0.313809871673584,4,1
0,300,primary,4,0,32768,10.822684288024902,0.988207221031189,0.05181562900543213,4,0.313809871673584,4,1
0,300,primary,5,0,32768,10.223506927490234,0.9970062375068665,0.1844087839126587,4,0.313809871673584,4,1
0,300,primary,6,0,32768,10.415159225463867,0.9973902702331543,0.2896568179130554,4,0.313809871673584,4,1
0,300,primary,7,0,32768,10.093242645263672,0.997173011302948,0.4043787717819214,4,0.313809871673584,4,1
0,300,primary,0,1,32768,12.629117965698242,0.9983487129211426,3.363203525543213,6,3.4118757247924805,6,1
0,300,primary,1,1,32768,12.509466171264648,0.9952269196510315,3.267418146133423,6,3.4118757247924805,6,1
0,300,primary,2,1,32768,12.720342636108398,0.9997771978378296,3.4203152656555176,6,3.4118757247924805,6,1
0,300,primary,3,1,32768,12.81171989440918,0.9990007877349854,3.445385456085205,6,3.4118757247924805,6,1
0,300,primary,4,1,32768,13.098954200744629,0.9922974109649658,3.619774341583252,6,3.4118757247924805,6,1
0,300,primary,5,1,32768,12.757823944091797,0.9989305138587952,3.4242970943450928,6,3.4118757247924805,6,1
0,300,primary,6,1,32768,12.733389854431152,0.9994034171104431,3.425776720046997,6,3.4118757247924805,6,1
0,300,primary,7,1,32768,12.546808242797852,0.9992808699607849,3.3288381099700928,6,3.4118757247924805,6,1
0,300,primary,0,2,32768,13.357840538024902,0.9990242123603821,0.01707470417022705,1,0.027818500995635986,1,1
0,300,primary,1,2,32768,13.222938537597656,0.9963417649269104,0.028436005115509033,1,0.027818500995635986,1,1
0,300,primary,2,2,32768,13.434871673583984,0.9998581409454346,0.044860005378723145,1,0.027818500995635986,1,1
0,300,primary,3,2,32768,13.485939979553223,0.9993190765380859,0.010523557662963867,1,0.027818500995635986,1,1
0,300,primary,4,2,32768,13.797576904296875,0.9947048425674438,0.05001068115234375,1,0.027818500995635986,1,1
0,300,primary,5,2,32768,13.413424491882324,0.9993826746940613,0.02766507863998413,1,0.027818500995635986,1,1
0,300,primary,6,2,32768,13.419293403625488,0.999570906162262,0.02846682071685791,1,0.027818500995635986,1,1
0,300,primary,7,2,32768,13.219440460205078,0.9995175004005432,0.01551145315170288,1,0.027818500995635986,1,1
0,300,primary,0,3,32768,13.567276954650879,0.9990299344062805,0.10562574863433838,5,0.09500634670257568,5,1
0,300,primary,1,3,32768,13.435127258300781,0.9964631795883179,0.11561542749404907,5,0.09500634670257568,5,1
0,300,primary,2,3,32768,13.638179779052734,0.9998623728752136,0.09524846076965332,5,0.09500634670257568,5,1
0,300,primary,3,3,32768,13.690693855285645,0.9993257522583008,0.09414923191070557,5,0.09500634670257568,5,1
0,300,primary,4,3,32768,13.981819152832031,0.9946759939193726,0.06538116931915283,5,0.09500634670257568,5,1
0,300,primary,5,3,32768,13.61931324005127,0.9994082450866699,0.08961308002471924,5,0.09500634670257568,5,1
0,300,primary,6,3,32768,13.619722366333008,0.9995815753936768,0.09333229064941406,5,0.09500634670257568,5,1
0,300,primary,7,3,32768,13.434297561645508,0.9995289444923401,0.10108590126037598,5,0.09500634670257568,5,1
0,300,primary,0,4,32768,13.943703651428223,0.999087929725647,0.10741496086120605,4,0.07818436622619629,4,1
0,300,primary,1,4,32768,13.814506530761719,0.9966533184051514,0.12094539403915405,4,0.07818436622619629,4,1
0,300,primary,2,4,32768,14.007538795471191,0.9998736381530762,0.06967437267303467,4,0.07818436622619629,4,1
0,300,primary,3,4,32768,14.055798530578613,0.9993729591369629,0.10766023397445679,4,0.07818436622619629,4,1
0,300,primary,4,4,32768,14.321656227111816,0.9948091506958008,0.016318917274475098,4,0.07818436622619629,4,1
0,300,primary,5,4,32768,13.983933448791504,0.9994571208953857,0.05804705619812012,4,0.07818436622619629,4,1
0,300,primary,6,4,32768,13.9813871383667,0.9995990991592407,0.057839393615722656,4,0.07818436622619629,4,1
0,300,primary,7,4,32768,13.815518379211426,0.9995385408401489,0.08757472038269043,4,0.07818436622619629,4,1
0,300,primary,0,5,32768,14.354047775268555,0.9991096258163452,0.12900030612945557,2,0.11903566122055054,2,1
