size,method,step,task,source_layer,target_layer,target_token_offset,recall_k,correct,total,recall
L,baseline,352000,same_token,2,5,0,2,10508,16384,0.641357421875
L,baseline,352000,same_token,2,5,0,4,13231,16384,0.80755615234375
L,baseline,352000,same_token,2,6,0,1,8591,16384,0.52435302734375
L,baseline,352000,same_token,2,6,0,2,10781,16384,0.65802001953125
L,baseline,352000,same_token,2,6,0,4,13382,16384,0.8167724609375
L,baseline,352000,same_token,2,7,0,1,7460,16384,0.455322265625
L,baseline,352000,same_token,2,7,0,2,9855,16384,0.60150146484375
L,baseline,352000,same_token,2,7,0,4,12933,16384,0.78936767578125
L,baseline,352000,same_token,2,8,0,1,7963,16384,0.48602294921875
L,baseline,352000,same_token,2,8,0,2,10480,16384,0.6396484375
L,baseline,352000,same_token,2,8,0,4,13241,16384,0.80816650390625
L,baseline,352000,same_token,2,9,0,1,8342,16384,0.5091552734375
L,baseline,352000,same_token,2,9,0,2,10644,16384,0.649658203125
L,baseline,352000,same_token,2,9,0,4,13267,16384,0.80975341796875
L,baseline,352000,same_token,2,10,0,1,8462,16384,0.5164794921875
L,baseline,352000,same_token,2,10,0,2,10836,16384,0.661376953125
L,baseline,352000,same_token,2,10,0,4,13490,16384,0.8233642578125
L,baseline,352000,same_token,2,11,0,1,7598,16384,0.4637451171875
L,baseline,352000,same_token,2,11,0,2,10114,16384,0.6173095703125
L,baseline,352000,same_token,2,11,0,4,13117,16384,0.80059814453125
L,baseline,352000,same_token,2,12,0,1,8668,16384,0.529052734375
L,baseline,352000,same_token,2,12,0,2,10953,16384,0.66851806640625
L,baseline,352000,same_token,2,12,0,4,13410,16384,0.8184814453125
L,baseline,352000,same_token,2,13,0,1,7912,16384,0.48291015625
L,baseline,352000,same_token,2,13,0,2,10329,16384,0.63043212890625
L,baseline,352000,same_token,2,13,0,4,13081,16384,0.79840087890625
L,baseline,352000,same_token,2,14,0,1,8768,16384,0.53515625
L,baseline,352000,same_token,2,14,0,2,10967,16384,0.66937255859375
L,baseline,352000,same_token,2,14,0,4,13200,16384,0.8056640625
L,baseline,352000,same_token,2,15,0,1,8222,16384,0.5018310546875
L,baseline,352000,same_token,2,15,0,2,10593,16384,0.64654541015625
L,baseline,352000,same_token,2,15,0,4,13191,16384,0.80511474609375
L,baseline,352000,same_token,2,16,0,1,7886,16384,0.4813232421875
L,baseline,352000,same_token,2,16,0,2,10245,16384,0.62530517578125
L,baseline,352000,same_token,2,16,0,4,13013,16384,0.79425048828125
L,baseline,352000,same_token,2,17,0,1,7627,16384,0.46551513671875
L,baseline,352000,same_token,2,17,0,2,10052,16384,0.613525390625
L,baseline,352000,same_token,2,17,0,4,12855,16384,0.78460693359375
L,baseline,352000,same_token,2,18,0,1,7650,16384,0.4669189453125
L,baseline,352000,same_token,2,18,0,2,9816,16384,0.59912109375
L,baseline,352000,same_token,2,18,0,4,12645,16384,0.77178955078125
L,baseline,352000,same_token,2,19,0,1,7099,16384,0.43328857421875
L,baseline,352000,same_token,2,19,0,2,9619,16384,0.58709716796875
L,baseline,352000,same_token,2,19,0,4,12495,16384,0.76263427734375
L,baseline,352000,same_token,2,20,0,1,7140,16384,0.435791015625
L,baseline,352000,same_token,2,20,0,2,9552,16384,0.5830078125
L,baseline,352000,same_token,2,20,0,4,12427,16384,0.75848388671875
L,baseline,352000,same_token,2,21,0,1,6526,16384,0.3983154296875
L,baseline,352000,same_token,2,21,0,2,8996,16384,0.549072265625
L,baseline,352000,same_token,2,21,0,4,12219,16384,0.74578857421875
L,baseline,352000,same_token,2,22,0,1,6329,16384,0.38629150390625
L,baseline,352000,same_token,2,22,0,2,8701,16384,0.53106689453125
L,baseline,352000,same_token,2,22,0,4,11943,16384,0.72894287109375
L,baseline,352000,same_token,2,23,0,1,6854,16384,0.4183349609375
L,baseline,352000,same_token,2,23,0,2,9433,16384,0.57574462890625
L,baseline,352000,same_token,2,23,0,4,12504,16384,0.76318359375
L,baseline,352000,same_token,2,24,0,1,5771,16384,0.35223388671875
L,baseline,352000,same_token,2,24,0,2,8379,16384,0.51141357421875
L,baseline,352000,same_token,2,24,0,4,11801,16384,0.72027587890625
L,baseline,352000,same_token,2,25,0,1,5910,16384,0.3607177734375
L,baseline,352000,same_token,2,25,0,2,8478,16384,0.5174560546875
L,baseline,352000,same_token,2,25,0,4,11811,16384,0.72088623046875
L,baseline,352000,same_token,2,26,0,1,5077,16384,0.30987548828125
L,baseline,352000,same_token,2,26,0,2,7893,16384,0.48175048828125
L,baseline,352000,same_token,2,26,0,4,11726,16384,0.7156982421875
L,baseline,352000,same_token,2,27,0,1,5069,16384,0.30938720703125
L,baseline,352000,same_token,2,27,0,2,7939,16384,0.48455810546875
L,baseline,352000,same_token,2,27,0,4,11787,16384,0.71942138671875
L,baseline,352000,same_token,3,4,0,1,9422,16384,0.5750732421875
L,baseline,352000,same_token,3,4,0,2,11677,16384,0.71270751953125
L,baseline,352000,same_token,3,4,0,4,14079,16384,0.85931396484375
L,baseline,352000,same_token,3,5,0,1,9024,16384,0.55078125
L,baseline,352000,same_token,3,5,0,2,11176,16384,0.68212890625
L,baseline,352000,same_token,3,5,0,4,13692,16384,0.835693359375
L,baseline,352000,same_token,3,6,0,1,9111,16384,0.55609130859375
L,baseline,352000,same_token,3,6,0,2,11265,16384,0.68756103515625
L,baseline,352000,same_token,3,6,0,4,13625,16384,0.83160400390625
L,baseline,352000,same_token,3,7,0,1,7954,16384,0.4854736328125
L,baseline,352000,same_token,3,7,0,2,10380,16384,0.633544921875
L,baseline,352000,same_token,3,7,0,4,13187,16384,0.80487060546875
L,baseline,352000,same_token,3,8,0,1,8496,16384,0.5185546875
L,baseline,352000,same_token,3,8,0,2,10843,16384,0.66180419921875
L,baseline,352000,same_token,3,8,0,4,13436,16384,0.820068359375
L,baseline,352000,same_token,3,9,0,1,8775,16384,0.53558349609375
L,baseline,352000,same_token,3,9,0,2,10905,16384,0.66558837890625
L,baseline,352000,same_token,3,9,0,4,13491,16384,0.82342529296875
L,baseline,352000,same_token,3,10,0,1,8811,16384,0.53778076171875
L,baseline,352000,same_token,3,10,0,2,11211,16384,0.68426513671875
L,baseline,352000,same_token,3,10,0,4,13722,16384,0.8375244140625
L,baseline,352000,same_token,3,11,0,1,7964,16384,0.486083984375
L,baseline,352000,same_token,3,11,0,2,10521,16384,0.64215087890625
L,baseline,352000,same_token,3,11,0,4,13312,16384,0.8125
L,baseline,352000,same_token,3,12,0,1,8961,16384,0.54693603515625
L,baseline,352000,same_token,3,12,0,2,11185,16384,0.68267822265625
L,baseline,352000,same_token,3,12,0,4,13547,16384,0.82684326171875
L,baseline,352000,same_token,3,13,0,1,8373,16384,0.51104736328125
L,baseline,352000,same_token,3,13,0,2,10670,16384,0.6512451171875
L,baseline,352000,same_token,3,13,0,4,13280,16384,0.810546875
L,baseline,352000,same_token,3,14,0,1,9097,16384,0.55523681640625
L,baseline,352000,same_token,3,14,0,2,11187,16384,0.68280029296875
L,baseline,352000,same_token,3,14,0,4,13414,16384,0.8187255859375
L,baseline,352000,same_token,3,15,0,1,8572,16384,0.523193359375
L,baseline,352000,same_token,3,15,0,2,10934,16384,0.6673583984375
L,baseline,352000,same_token,3,15,0,4,13360,16384,0.8154296875
L,baseline,352000,same_token,3,16,0,1,8066,16384,0.4923095703125
L,baseline,352000,same_token,3,16,0,2,10445,16384,0.63751220703125
L,baseline,352000,same_token,3,16,0,4,13020,16384,0.794677734375
