size,method,step,layer,expert,activation_count,activation_share
L,proposed,352000,16,4,19201,0.14649200439453125
L,proposed,352000,16,5,10455,0.07976531982421875
L,proposed,352000,16,6,22529,0.17188262939453125
L,proposed,352000,16,7,19094,0.1456756591796875
L,proposed,352000,17,0,25162,0.1919708251953125
L,proposed,352000,17,1,11616,0.088623046875
L,proposed,352000,17,2,19533,0.14902496337890625
L,proposed,352000,17,3,12160,0.0927734375
L,proposed,352000,17,4,22814,0.1740570068359375
L,proposed,352000,17,5,7853,0.05991363525390625
L,proposed,352000,17,6,13630,0.1039886474609375
L,proposed,352000,17,7,18304,0.1396484375
L,proposed,352000,18,0,31243,0.23836517333984375
L,proposed,352000,18,1,20407,0.15569305419921875
L,proposed,352000,18,2,5351,0.04082489013671875
L,proposed,352000,18,3,14556,0.111053466796875
L,proposed,352000,18,4,18376,0.14019775390625
L,proposed,352000,18,5,12090,0.0922393798828125
L,proposed,352000,18,6,15427,0.11769866943359375
L,proposed,352000,18,7,13622,0.1039276123046875
L,proposed,352000,19,0,9240,0.07049560546875
L,proposed,352000,19,1,15136,0.115478515625
L,proposed,352000,19,2,32041,0.24445343017578125
L,proposed,352000,19,3,12882,0.0982818603515625
L,proposed,352000,19,4,8878,0.0677337646484375
L,proposed,352000,19,5,15820,0.120697021484375
L,proposed,352000,19,6,19611,0.14962005615234375
L,proposed,352000,19,7,17464,0.13323974609375
L,proposed,352000,20,0,8489,0.06476593017578125
L,proposed,352000,20,1,18143,0.13842010498046875
L,proposed,352000,20,2,18342,0.1399383544921875
L,proposed,352000,20,3,8296,0.06329345703125
L,proposed,352000,20,4,8737,0.06665802001953125
L,proposed,352000,20,5,31918,0.2435150146484375
L,proposed,352000,20,6,19144,0.14605712890625
L,proposed,352000,20,7,18003,0.13735198974609375
L,proposed,352000,21,0,25247,0.19261932373046875
L,proposed,352000,21,1,20909,0.15952301025390625
L,proposed,352000,21,2,25883,0.19747161865234375
L,proposed,352000,21,3,15795,0.12050628662109375
L,proposed,352000,21,4,12255,0.09349822998046875
L,proposed,352000,21,5,10397,0.07932281494140625
L,proposed,352000,21,6,9441,0.07202911376953125
L,proposed,352000,21,7,11145,0.08502960205078125
L,proposed,352000,22,0,11454,0.0873870849609375
L,proposed,352000,22,1,10247,0.07817840576171875
L,proposed,352000,22,2,26459,0.20186614990234375
L,proposed,352000,22,3,17318,0.1321258544921875
L,proposed,352000,22,4,10885,0.08304595947265625
L,proposed,352000,22,5,15190,0.1158905029296875
L,proposed,352000,22,6,23114,0.1763458251953125
L,proposed,352000,22,7,16405,0.12516021728515625
L,proposed,352000,23,0,8613,0.06571197509765625
L,proposed,352000,23,1,9077,0.06925201416015625
L,proposed,352000,23,2,16899,0.12892913818359375
L,proposed,352000,23,3,20741,0.15824127197265625
L,proposed,352000,23,4,18863,0.14391326904296875
L,proposed,352000,23,5,19759,0.15074920654296875
L,proposed,352000,23,6,13542,0.1033172607421875
L,proposed,352000,23,7,23578,0.1798858642578125
L,proposed,352000,24,0,20902,0.1594696044921875
L,proposed,352000,24,1,12138,0.0926055908203125
L,proposed,352000,24,2,22978,0.1753082275390625
L,proposed,352000,24,3,7812,0.059600830078125
L,proposed,352000,24,4,13076,0.099761962890625
L,proposed,352000,24,5,16894,0.1288909912109375
L,proposed,352000,24,6,19547,0.14913177490234375
