variant,router_metric,seed,step,source_variant,cancel_active,slot_to_expert_NMI,per_slot_route_purity,max_load,load_entropy_norm,active_experts,target_accuracy,cross_entropy_loss,slot_component_variance_ratio,position_component_variance_ratio,residual_component_variance_ratio,alpha,cancel_until,initial_slot_minus_common_margin_mean
R2P2_alpha_0.4,dot_product,20260526,1600,original,0,1.0000000000001803,1.0,0.25,1.0000000027478353,4,1.0,3.2159163492906376e-05,0.9812108874320984,0.013533835299313068,0.005255271214991808,0.4,,0.387721236422658
R2P2_alpha_0.4,dot_product,20260527,1600,original,0,1.0000000000001803,1.0,0.25,1.0000000027478353,4,1.0,3.4361451071163174e-05,0.9998223185539246,8.015148341655731e-05,9.755924838827923e-05,0.4,,0.38897737115621567
R2P2_alpha_0.4,dot_product,20260528,1600,original,0,1.0000000000001803,1.0,0.25,1.0000000027478353,4,1.0,2.6383647400507472e-05,0.9996830224990845,0.00015472827362827957,0.00016238032549154013,0.4,,0.40150734689086676
R2P2_alpha_0.6,dot_product,20260521,1600,original,0,0.8417442805882993,0.9749999940395355,0.4749999940395355,0.821599217328803,4,1.0,3.13366277168825e-05,0.9890854954719543,0.003462812164798379,0.00745171494781971,0.6,,0.2538521831855178
R2P2_alpha_0.6,dot_product,20260522,1600,original,0,0.866025403784751,1.0,0.5,0.7500000020608765,3,1.0,3.163466417390737e-05,0.9979791641235352,0.0005570260691456497,0.001463918830268085,0.6,,0.29387478306889536
R2P2_alpha_0.6,dot_product,20260523,1600,original,0,1.0000000000001803,1.0,0.25,1.0000000027478353,4,1.0,3.165551306665293e-05,0.996429443359375,0.0011120510753244162,0.0024584135971963406,0.6,,0.30444924919866023
R2P2_alpha_0.6,dot_product,20260524,1600,original,0,0.866025403784751,1.0,0.5,0.7500000020608765,3,1.0,3.2227699239228966e-05,0.9960187077522278,0.0017055491916835308,0.0022757169790565968,0.6,,0.34136727061122657
R2P2_alpha_0.6,dot_product,20260525,1600,original,0,0.866025403784751,1.0,0.5,0.7500000020608765,3,1.0,3.2627030668663794e-05,0.9998849630355835,8.164599421434104e-05,3.347283563925885e-05,0.6,,0.33058922961354253
R2P2_alpha_0.6,dot_product,20260526,1600,original,0,1.0000000000001803,1.0,0.25,1.0000000027478353,4,1.0,3.167935942656186e-05,0.9805213809013367,0.014402979984879494,0.005075637251138687,0.6,,0.39323990810662507
R2P2_alpha_0.6,dot_product,20260527,1600,original,0,1.0000000000001803,1.0,0.25,1.0000000027478353,4,1.0,3.432866997172823e-05,0.9998323321342468,7.553803152404726e-05,9.215612953994423e-05,0.6,,0.41777181923389434
R2P2_alpha_0.6,dot_product,20260528,1600,original,0,1.0000000000001803,1.0,0.25,1.0000000027478353,4,1.0,2.6124372925551143e-05,0.9997275471687317,0.00013466265227179974,0.00013774115359410644,0.6,,0.38322054371237757
R2P2_alpha_0.8,dot_product,20260521,1600,original,0,0.8417442805882993,0.9749999940395355,0.4749999940395355,0.821599217328803,4,1.0,3.135450851914357e-05,0.9890561699867249,0.0034883799962699413,0.007455550134181976,0.8,,0.2546430928632617
R2P2_alpha_0.8,dot_product,20260522,1600,original,0,0.866025403784751,1.0,0.5,0.7500000020608765,3,1.0,3.200718110747402e-05,0.9982978105545044,0.0004719161370303482,0.0012302594259381294,0.8,,0.3034443736076355
R2P2_alpha_0.8,dot_product,20260523,1600,original,0,1.0000000000001803,1.0,0.25,1.0000000027478353,4,1.0,3.148564460389025e-05,0.9961816668510437,0.0011668694205582142,0.0026513179764151573,0.8,,0.3073628912679851
