variant,router_metric,seed,step,source_variant,cancel_active,slot_to_expert_NMI,per_slot_route_purity,max_load,load_entropy_norm,active_experts,target_accuracy,cross_entropy_loss,slot_component_variance_ratio,position_component_variance_ratio,residual_component_variance_ratio,alpha,cancel_until
R2P2_alpha_0.2,dot_product,20260528,10,original,0,0.8618387297192591,0.9000000059604645,0.3499999940395355,0.9703226765149491,4,1.0,0.13780244644731282,0.9661517143249512,0.020185261964797974,0.013663161545991898,0.2,
R2P2_alpha_0.2,dot_product,20260528,20,original,0,1.0000000000001803,1.0,0.25,1.0000000027478353,4,1.0,0.01624540623743087,0.9980511665344238,0.0009181922068819404,0.0010306708281859756,0.2,
R2P2_alpha_0.2,dot_product,20260528,50,original,0,1.0000000000001803,1.0,0.25,1.0000000027478353,4,1.0,0.004231412115041166,0.9995272159576416,0.000149591825902462,0.00032315606949850917,0.2,
R2P2_alpha_0.2,dot_product,20260528,1600,original,0,1.0000000000001803,1.0,0.25,1.0000000027478353,4,1.0,2.8279021080379607e-05,0.9998225569725037,6.031800148775801e-05,0.00011714054562617093,0.2,
R2P2_alpha_0.4,dot_product,20260521,0,original,0,1.0000000000001803,1.0,0.25,1.0000000027478353,4,0.225,3.431737703084946,0.16776642203330994,0.7427613139152527,0.0894722267985344,0.4,
R2P2_alpha_0.4,dot_product,20260521,1,original,0,0.6875415367403965,0.7750000059604645,0.4749999940395355,0.8978476395975038,4,0.25,2.9610810548067095,0.20639032125473022,0.6854478716850281,0.10816191136837006,0.4,
R2P2_alpha_0.4,dot_product,20260521,2,original,0,0.5965512101796101,0.9000000059604645,0.6499999761581421,0.6680801079146729,4,0.3,2.5964382705278695,0.27950015664100647,0.5953437685966492,0.12515589594841003,0.4,
R2P2_alpha_0.4,dot_product,20260521,5,original,0,0.5951437789499552,0.9249999970197678,0.675000011920929,0.615948468811162,4,0.525,1.528782164538279,0.6203156113624573,0.28760525584220886,0.09207911044359207,0.4,
R2P2_alpha_0.4,dot_product,20260521,10,original,0,0.8417442805882991,0.9749999940395355,0.4749999940395355,0.821599217328803,4,1.0,0.2594167534261942,0.9053293466567993,0.06102660670876503,0.03364408761262894,0.4,
R2P2_alpha_0.4,dot_product,20260521,20,original,0,0.8417442805882991,0.9749999940395355,0.4749999940395355,0.821599217328803,4,1.0,0.018411928066052498,0.964815080165863,0.018936624750494957,0.016248254105448723,0.4,
R2P2_alpha_0.4,dot_product,20260521,50,original,0,0.8417442805882991,0.9749999940395355,0.4749999940395355,0.821599217328803,4,1.0,0.0042281016707420346,0.9851148724555969,0.00599065562710166,0.008894447237253189,0.4,
R2P2_alpha_0.4,dot_product,20260521,1600,original,0,0.8417442805882993,0.9749999940395355,0.4749999940395355,0.821599217328803,4,1.0,3.12800055326079e-05,0.98912113904953,0.0034433796536177397,0.0074353693053126335,0.4,
R2P2_alpha_0.4,dot_product,20260522,0,original,0,1.0000000000001803,1.0,0.25,1.0000000027478353,4,0.0,3.5427029013633726,0.24910278618335724,0.6413460969924927,0.10955111682415009,0.4,
R2P2_alpha_0.4,dot_product,20260522,1,original,0,0.5165563752048606,0.7250000089406967,0.574999988079071,0.8209242714154918,4,0.15,3.087179221585393,0.30522915720939636,0.5966748595237732,0.09809593111276627,0.4,
R2P2_alpha_0.4,dot_product,20260522,2,original,0,0.34057556812990464,0.7500000149011612,0.75,0.5958801142516199,4,0.375,2.6958098500967025,0.3947417438030243,0.5188088417053223,0.08644955605268478,0.4,
R2P2_alpha_0.4,dot_product,20260522,5,original,0,0.4200237779867266,0.7750000059604645,0.7250000238418579,0.56095323257946,3,0.525,1.630796816945076,0.6716293692588806,0.278499037027359,0.04987163096666336,0.4,
R2P2_alpha_0.4,dot_product,20260522,10,original,0,0.866025403784751,1.0,0.5,0.7500000020608765,3,1.0,0.336840795725584,0.8940228223800659,0.08270257711410522,0.023274553939700127,0.4,
