model,layer,band,condition,novelty,ci_low,ci_high,eligible_tokens
decommon,10,H,true,0.8635330200195312,0.8502908706665039,0.8723833084106445,4096
decommon,10,M,true,0.871551513671875,0.8578479766845704,0.880119514465332,4096
decommon,10,T,true,0.88763427734375,0.8750123977661133,0.8963930130004882,4096
decommon,10,N,true,0.8698577880859375,0.8567028045654297,0.8784334182739257,4096
decommon,11,H,true,0.8780099191973286,0.8659127266176285,0.8878141710835118,4095
decommon,11,M,true,0.8908861221805695,0.8775720657840851,0.9014387192264679,4095
decommon,11,T,true,0.8975369853358115,0.8842818229429183,0.9079381758166898,4095
decommon,11,N,true,0.889619888797883,0.8765331760529549,0.8997234467537172,4095
decommon,12,H,full_random,0.8712005615234375,0.8545595107540008,0.8846809325679656,4093
decommon,12,H,true,0.8646798902942289,0.8468458237186555,0.8777846059491557,4093
decommon,12,M,full_random,0.8606623987997732,0.8419343886836882,0.8742919429655998,4093
decommon,12,M,nonhead_random,0.863309306483115,0.8461206436157227,0.8763136709890058,4093
decommon,12,M,true,0.8591549781060988,0.8415984984367124,0.87314453125,4093
decommon,12,M,wrong_layer,0.8603367959299395,0.8426819462930002,0.8746121068154612,4093
decommon,12,T,full_random,0.8575862761466734,0.8402293236024918,0.871199324823195,4093
decommon,12,T,nonhead_random,0.8604308097593246,0.8436779452908424,0.8737479056081464,4093
decommon,12,T,true,0.872134547079763,0.8543020740632088,0.8852029431250787,4093
decommon,12,T,wrong_layer,0.8571115309192288,0.839619255065918,0.8701907619353263,4093
decommon,12,N,full_random,0.8563286565965222,0.838468256304341,0.8695832960067257,4093
decommon,12,N,true,0.8585908951297883,0.8415932932207661,0.8724907229023595,4093
decommon,12,N,wrong_layer,0.8562594998267389,0.8383425866403889,0.8698512477259482,4093
