layer,condition,R,delta_middle_e,delta_tail_e,delta_middle_q_enrichment,delta_tail_q_enrichment
27,calibration_half0_basis,0.03299487828668566,0.1029250719515239,-0.06747530376388582,,
27,calibration_half1_basis,0.03299487828668566,0.10544364708535076,0.006500199961430822,,
27,wrong_layer_basis_8,0.03299487828668566,0.013329552517386748,-0.02201832525979151,,
28,length_template_bundle_residualized,0.6198989399165568,0.05561113165685024,0.057349365451991034,,
28,eigen_floor_1e-06,0.27853965528916425,,,0.02708780051101361,-0.004219982295234131
28,eigen_floor_1e-05,0.27853965528916425,,,0.018913896187600768,-0.0022628937883430894
28,eigen_floor_1e-04,0.27853965528916425,,,0.012075313859959733,0.013713801740410078
28,calibration_half0_basis,0.27853965528916425,0.04978247505242382,0.014737132732199305,,
28,calibration_half1_basis,0.27853965528916425,0.0757868640643981,0.052626132832519254,,
28,wrong_layer_basis_9,0.27853965528916425,0.01800203325428456,-0.014358425573008591,,
29,length_template_bundle_residualized,0.6704839026618066,0.03473627561387201,0.05855112465349002,,
29,eigen_floor_1e-06,0.3419013768076723,,,-0.004989338503842628,0.0034367468556204435
29,eigen_floor_1e-05,0.3419013768076723,,,-0.010133474676203309,0.0049454787988858434
29,eigen_floor_1e-04,0.3419013768076723,,,-0.003959396752494228,0.017967559733393857
29,calibration_half0_basis,0.3419013768076723,0.031653634898016515,0.025651991197285676,,
29,calibration_half1_basis,0.3419013768076723,0.02812659558377411,0.06504503251519421,,
29,wrong_layer_basis_10,0.3419013768076723,-0.005947423889520748,0.009826330985778049,,
30,length_template_bundle_residualized,0.7446617548829605,0.03377011274021233,0.019708945219557836,,
30,eigen_floor_1e-06,0.452915405416237,,,0.020506864119508077,-0.004012959302152068
30,eigen_floor_1e-05,0.452915405416237,,,0.020770624186063135,-0.004083771624361198
30,eigen_floor_1e-04,0.452915405416237,,,0.009634683749052485,-0.0035464718039865954
30,calibration_half0_basis,0.452915405416237,0.03718274451816963,-0.0030422583013949202,,
30,calibration_half1_basis,0.452915405416237,0.033183141182593925,0.026870420794130892,,
30,wrong_layer_basis_11,0.452915405416237,0.030666611444908547,-0.02050681646300378,,
31,length_template_bundle_residualized,0.7213570221870916,0.023797785841927793,0.0604955502693904,,
31,eigen_floor_1e-06,0.45230875893385125,,,-0.019242435923551182,0.006858388493095587
31,eigen_floor_1e-05,0.45230875893385125,,,-0.019132687947838962,0.006832388271396251
31,eigen_floor_1e-04,0.45230875893385125,,,-0.013864100786498891,0.016799948651625242
31,calibration_half0_basis,0.45230875893385125,0.0152357992423783,0.037796325460980634,,
31,calibration_half1_basis,0.45230875893385125,0.02561370408911601,0.05970377022319062,,
