role,band,band_index,b,q,j,e,q_enrichment,j_enrichment,layer,split,floor_ratio
fine,F15,15,4.764106506627286e-06,0.006478852930281375,0.24914231896400452,0.4826802152539093,2.2114461685326026,0.7122354001482732,1,design,1e-06
fine,F16,16,3.4318745747441426e-06,0.0069953385154627856,0.2753206789493561,0.34770380472342266,2.3877397317208238,0.7870727653013455,1,design,1e-06
coarse,F1,1,5.4768861446063966e-05,0.0003287155020929969,0.5271406173706055,1.7688955669248754,0.07810572890012465,1.0658166238852749,2,confirmation,1e-06
coarse,F2,2,4.100041405763477e-05,0.0006843257093513912,0.5374489426612854,1.324209573720226,0.16260187911327587,1.0866588509821473,2,confirmation,1e-06
coarse,F3,3,4.026338137919083e-05,0.0010550114768655048,0.5487486720085144,1.3004052841448044,0.250680116617271,1.1095055810325731,2,confirmation,1e-06
coarse,F4,4,3.856207331409678e-05,0.0014074604481486986,0.5368468165397644,1.2454573408270109,0.3344251290273792,1.0854414224462972,2,confirmation,1e-06
coarse,F5,5,3.750589530682191e-05,0.001805948772063146,0.5482176542282104,1.211345465107412,0.429109501377794,1.1084319252390777,2,confirmation,1e-06
coarse,F6,6,3.5615841625258327e-05,0.0022130826004673953,0.5217943787574768,1.1503015162230568,0.5258481225408926,1.05500715521342,2,confirmation,1e-06
coarse,F7,7,3.56218806700781e-05,0.002831133747960614,0.5388997197151184,1.1504965620817456,0.6727025759060379,1.0895921523643086,2,confirmation,1e-06
coarse,F8,8,3.0648079700767994e-05,0.003067473227837904,0.46681472659111023,0.9898553828955827,0.7288589397713164,0.9438447341754937,2,confirmation,1e-06
coarse,F9,9,3.006629049195908e-05,0.0037716190486991293,0.4810122847557068,0.9710650643610209,0.8961702537804233,0.9725505348893223,2,confirmation,1e-06
coarse,F10,10,2.8467098672990687e-05,0.004488753952288816,0.5059351921081543,0.9194152172663994,1.0665678894500263,1.022941736205376,2,confirmation,1e-06
coarse,F11,11,2.6791229174705222e-05,0.005332145589020218,0.4926789700984955,0.8652888752539561,1.2669652486124152,0.9961392070087404,2,confirmation,1e-06
coarse,F12,12,2.525110903661698e-05,0.006285501076531531,0.4739777445793152,0.8155468939005752,1.4934909974100443,0.9583275180806671,2,confirmation,1e-06
coarse,F13,13,2.1218973415670916e-05,0.0067700997156833476,0.45517799258232117,0.6853191214617536,1.6086359470517957,0.9203166201474698,2,confirmation,1e-06
coarse,F14,14,1.967913340195082e-05,0.00800074972958728,0.4603760838508606,0.6355861874162757,1.901049343271003,0.9308265522299509,2,confirmation,1e-06
coarse,F15,15,1.800980680854991e-05,0.009812308231188982,0.43600666522979736,0.5816711646669962,2.331491766314346,0.8815544403401399,2,confirmation,1e-06
coarse,F16,16,1.192482523038052e-05,0.009483216158360102,0.38233911991119385,0.38514166497959834,2.2532965608558557,0.7730449457597407,2,confirmation,1e-06
fine,F1,1,4.5357108319876716e-05,0.0002428411001376087,0.5580012202262878,1.8370125029367126,0.06836935012498076,1.154582555186302,2,confirmation,1e-06
