seed,pool,fit_pool_size,uses_feature_labels_for_fit,selected_positions,fit_pool_role_entropy,fit_pool_route_fraction,fit_pool_slot_nonroute_fraction,fit_pool_target_fraction,fit_pool_neutral_fraction,representation_type,latent_dim,d_sae,sae_expansion,sparsity,top_k,l1_lambda,train_sample_count,train_epochs,train_reconstruction_mse,reconstruction_mse,retained_variance_fraction,latent_l0_mean,latent_active_fraction,feature_NMI,nuisance_NMI,slot_start_NMI,feature_purity,dominant_expert_count,load_imbalance_L,max_load,active_experts,load_entropy,load_e0,load_e1,load_e2,load_e3,count_e0,count_e1,count_e2,count_e3,margin_mean,margin_std,margin_min,margin_p05,margin_median
20260629,bottleneck_ae_q8,393216,False,,1.1808927059173584,0.03125,0.09375,0.03125,0.8125,bottleneck_ae,8,nan,nan,,nan,nan,65536,10,0.9152572080492973,0.9119282762209574,nan,4.2588653564453125,0.5323581695556641,1.0,0.0,0.0,1.0,4.0,0.0,0.25,4,1.0000000027478353,0.25,0.25,0.25,0.25,3072,3072,3072,3072,2.296410322189331,0.751530110836029,1.1703921556472778,1.407050371170044,2.205446243286133
20260629,bottleneck_ae_q16,393216,False,,1.1808927059173584,0.03125,0.09375,0.03125,0.8125,bottleneck_ae,16,nan,nan,,nan,nan,65536,10,0.8002520091831684,0.7958668644229571,nan,8.016578674316406,0.5010361671447754,0.8660254037844386,0.0,0.0,1.0,3.0,1.0,0.5,3,0.7500000020608765,0.0,0.25,0.5,0.25,0,3072,6144,3072,1.9122705459594727,0.22421663999557495,1.4118702411651611,1.6370316743850708,1.8380126953125
20260629,bottleneck_ae_q32,393216,False,,1.1808927059173584,0.03125,0.09375,0.03125,0.8125,bottleneck_ae,32,nan,nan,,nan,nan,65536,10,0.5978822112083435,0.5926318777104219,nan,16.08673858642578,0.5027105808258057,0.8660254037844386,0.0,0.0,1.0,3.0,1.0,0.5,3,0.7500000020608765,0.25,0.0,0.25,0.5,3072,0,3072,6144,2.239441156387329,0.9889337420463562,0.21212685108184814,0.4737175703048706,2.673922061920166
20260629,sae_l1_4x,393216,False,,1.1808927059173584,0.03125,0.09375,0.03125,0.8125,sae,512,512,4,l1,nan,0.0001,65536,10,0.01360187417594716,0.012628594578321403,nan,258.84403228759766,0.5055547505617142,0.8660254037844386,0.0,0.0,1.0,3.0,1.0,0.5,3,0.7500000020608765,0.25,0.25,0.5,0.0,3072,3072,6144,0,2.176692247390747,0.8370595574378967,0.3910820484161377,0.6699774861335754,2.556363344192505
20260629,sae_topk_4x,393216,False,,1.1808927059173584,0.03125,0.09375,0.03125,0.8125,sae,512,512,4,topk,8,nan,65536,10,0.13061889167875051,0.12624603036480644,nan,8.0,0.015625,0.6368979998630601,0.0,0.0,1.0,2.0,2.0,0.75,2,0.40563905424694935,0.25,0.0,0.75,0.0,3072,0,9216,0,2.610399007797241,2.4094719886779785,0.4456554651260376,0.718405544757843,1.447398066520691
20260629,sae_l1_8x,393216,False,,1.1808927059173584,0.03125,0.09375,0.03125,0.8125,sae,1024,1024,8,l1,nan,0.0001,65536,10,0.0035485217085806653,0.0033612439316736222,nan,516.8913879394531,0.5047767460346222,0.8660254037844386,0.0,0.0,1.0,3.0,1.0,0.5,3,0.7500000020608765,0.0,0.25,0.5,0.25,0,3072,6144,3072,2.0391194820404053,0.9751940965652466,0.2628519833087921,0.5246200561523438,2.099104881286621
20260629,sae_topk_8x,393216,False,,1.1808927059173584,0.03125,0.09375,0.03125,0.8125,sae,1024,1024,8,topk,8,nan,65536,10,0.03239557263441384,0.03153519378975034,nan,8.0,0.0078125,0.6368979998630601,0.0,0.0,1.0,2.0,2.0,0.75,2,0.40563905424694935,0.75,0.0,0.25,0.0,9216,0,3072,0,1.008657455444336,0.5786970257759094,0.12774229049682617,0.3067254424095154,0.9275872707366943
20260624,pca_q4,393216,False,,1.1808927059173584,0.03125,0.09375,0.03125,0.8125,pca,4,nan,nan,,nan,nan,393216,0,0.911841094493866,0.911841094493866,0.0852739710055778,4.0,1.0,0.8660254037844386,0.0,0.0,1.0,3.0,1.0,0.5,3,0.7500000020608765,0.0,0.25,0.5,0.25,0,3072,6144,3072,1.9418859481811523,0.6239650249481201,0.8981290459632874,1.0940141677856445,1.8769749402999878
20260624,pca_q8,393216,False,,1.1808927059173584,0.03125,0.09375,0.03125,0.8125,pca,8,nan,nan,,nan,nan,393216,0,0.8408715128898621,0.8408715128898621,0.1564680734178414,8.0,1.0,0.8660254037844386,0.0,0.0,1.0,3.0,1.0,0.5,3,0.7500000020608765,0.0,0.5,0.25,0.25,0,6144,3072,3072,2.5713281631469727,0.5347486734390259,1.6923794746398926,1.93114173412323,2.419302463531494
20260624,pca_q16,393216,False,,1.1808927059173584,0.03125,0.09375,0.03125,0.8125,pca,16,nan,nan,,nan,nan,393216,0,0.7208986282348633,0.7208986282348633,0.2768205341123089,16.0,1.0,0.8660254037844386,0.0,0.0,1.0,3.0,1.0,0.5,3,0.7500000020608765,0.25,0.5,0.0,0.25,3072,6144,0,3072,2.4120829105377197,0.5284765958786011,1.45750093460083,1.7808657884597778,2.2319488525390625
20260624,pca_q32,393216,False,,1.1808927059173584,0.03125,0.09375,0.03125,0.8125,pca,32,nan,nan,,nan,nan,393216,0,0.5327900648117065,0.5327900648117065,0.4655243699323977,32.0,1.0,0.6368979998630601,0.0,0.0,1.0,2.0,2.0,0.75,2,0.40563905424694935,0.75,0.0,0.25,0.0,9216,0,3072,0,2.3478517532348633,0.824208676815033,0.9538682699203491,1.162867784500122,2.2862436771392822
20260624,bottleneck_ae_q4,393216,False,,1.1808927059173584,0.03125,0.09375,0.03125,0.8125,bottleneck_ae,4,nan,nan,,nan,nan,65536,10,0.9874192848801613,0.9843702626725038,nan,2.2785771687825522,0.5696442921956381,0.8660254037844386,0.0,0.0,1.0,3.0,1.0,0.5,3,0.7500000020608765,0.25,0.0,0.25,0.5,3072,0,3072,6144,2.277029275894165,0.2701621353626251,1.7115229368209839,1.9539704322814941,2.1863443851470947
20260624,bottleneck_ae_q8,393216,False,,1.1808927059173584,0.03125,0.09375,0.03125,0.8125,bottleneck_ae,8,nan,nan,,nan,nan,65536,10,0.9140731394290924,0.9110141104708115,nan,3.9446131388346353,0.4930766423543294,0.6368979998630601,0.0,0.0,1.0,2.0,2.0,0.75,2,0.40563905424694935,0.0,0.25,0.0,0.75,0,3072,0,9216,1.2747206687927246,0.29276731610298157,0.45351189374923706,0.7851594090461731,1.270751714706421
20260624,bottleneck_ae_q16,393216,False,,1.1808927059173584,0.03125,0.09375,0.03125,0.8125,bottleneck_ae,16,nan,nan,,nan,nan,65536,10,0.7940911874175072,0.7899123653769493,nan,7.957201639811198,0.4973251024881999,0.6368979998630601,0.0,0.0,1.0,2.0,2.0,0.75,2,0.40563905424694935,0.0,0.0,0.75,0.25,0,0,9216,3072,2.198716878890991,0.24912208318710327,1.5121097564697266,1.7538284063339233,2.2577316761016846
