seed,pool,cluster,position,count,fraction,cluster_total
20260623,pca_q4,1,29,2762,0.02903090182888375,95140
20260623,pca_q4,1,30,2804,0.02947235652722304,95140
20260623,pca_q4,1,31,2873,0.030197603531637588,95140
20260623,pca_q4,2,0,1787,0.02571741070143626,69486
20260623,pca_q4,2,1,1805,0.025976455688915753,69486
20260623,pca_q4,2,2,3332,0.04795210546009268,69486
20260623,pca_q4,2,3,2295,0.03302823590363527,69486
20260623,pca_q4,2,4,1224,0.017615059148605474,69486
20260623,pca_q4,2,5,2205,0.031733010966237804,69486
20260623,pca_q4,2,6,3290,0.04734766715597386,69486
20260623,pca_q4,2,7,2256,0.03246697176409637,69486
20260623,pca_q4,2,8,1843,0.026523328440261347,69486
20260623,pca_q4,2,9,1856,0.026710416486774313,69486
20260623,pca_q4,2,10,3281,0.04721814466223412,69486
20260623,pca_q4,2,11,2270,0.032668451198802635,69486
20260623,pca_q4,2,12,1210,0.017413579713899202,69486
20260623,pca_q4,2,13,2236,0.03217914400023026,69486
20260623,pca_q4,2,14,3342,0.04809601934202573,69486
20260623,pca_q4,2,15,2227,0.03204962150649052,69486
20260623,pca_q4,2,16,1865,0.02683993898051406,69486
20260623,pca_q4,2,17,1869,0.02689750453328728,69486
20260623,pca_q4,2,18,3314,0.04769306047261319,69486
20260623,pca_q4,2,19,2271,0.03268284258699594,69486
20260623,pca_q4,2,20,1242,0.017874104136084968,69486
20260623,pca_q4,2,21,2293,0.032999453127248654,69486
20260623,pca_q4,2,22,3278,0.047174970497654206,69486
20260623,pca_q4,2,23,2224,0.0320064473419106,69486
20260623,pca_q4,2,24,1848,0.026595285381227872,69486
20260623,pca_q4,2,25,1775,0.0255447140431166,69486
20260623,pca_q4,2,26,1860,0.026767982039547535,69486
20260623,pca_q4,2,27,1863,0.02681115620412745,69486
20260623,pca_q4,2,28,1863,0.02681115620412745,69486
20260623,pca_q4,2,29,1855,0.02669602509858101,69486
20260623,pca_q4,2,30,1846,0.026566502604841263,69486
20260623,pca_q4,2,31,1761,0.02534323460841033,69486
20260623,pca_q4,3,0,4527,0.032273932757293185,140268
20260623,pca_q4,3,1,4658,0.03320785924088174,140268
20260623,pca_q4,3,2,4146,0.029557703824108137,140268
20260623,pca_q4,3,3,5209,0.0371360538397924,140268
20260623,pca_q4,3,4,4197,0.029921293523825818,140268
20260623,pca_q4,3,5,4228,0.030142299027575783,140268
20260623,pca_q4,3,6,3181,0.022678016368665697,140268
20260623,pca_q4,3,7,4176,0.029771580118059714,140268
20260623,pca_q4,3,8,4601,0.03280149428237374,140268
20260623,pca_q4,3,9,4698,0.033493027632817175,140268
20260623,pca_q4,3,10,4141,0.029522057775116205,140268
20260623,pca_q4,3,11,5165,0.03682236860866341,140268
20260623,pca_q4,3,12,4190,0.02987138905523712,140268
20260623,pca_q4,3,13,4118,0.02935808594975333,140268
20260623,pca_q4,3,14,3121,0.02225026378076254,140268
20260623,pca_q4,3,15,4218,0.030071006929591925,140268
20260623,pca_q4,3,16,4623,0.032958336897938235,140268
20260623,pca_q4,3,17,4697,0.033485898423018794,140268
20260623,pca_q4,3,18,4104,0.029258277012575926,140268
20260623,pca_q4,3,19,5125,0.036537200216727975,140268
20260623,pca_q4,3,20,4058,0.028930333361850174,140268
20260623,pca_q4,3,21,4141,0.029522057775116205,140268
20260623,pca_q4,3,22,3052,0.02175834830467391,140268
20260623,pca_q4,3,23,4265,0.030406079790116062,140268
20260623,pca_q4,3,24,4707,0.03355719052100265,140268
20260623,pca_q4,3,25,4705,0.03354293210140588,140268
20260623,pca_q4,3,26,4604,0.0328228819117689,140268
20260623,pca_q4,3,27,4590,0.0327230729745915,140268
20260623,pca_q4,3,28,4754,0.03389226338152679,140268
20260623,pca_q4,3,29,4802,0.034234465451849314,140268
20260623,pca_q4,3,30,4793,0.034170302563663844,140268
20260623,pca_q4,3,31,4674,0.03332192659765591,140268
20260623,pca_q8,0,0,2864,0.027505930486059756,104123
20260623,pca_q8,0,1,2895,0.027803655292298533,104123
20260623,pca_q8,0,2,1918,0.01842052188277326,104123
20260623,pca_q8,0,3,2895,0.027803655292298533,104123
20260623,pca_q8,0,4,4968,0.04771280120626566,104123
20260623,pca_q8,0,5,2865,0.02751553451206746,104123
20260623,pca_q8,0,6,4998,0.04800092198649674,104123
20260623,pca_q8,0,7,2932,0.028159004254583522,104123
20260623,pca_q8,0,8,3047,0.0292634672454693,104123
20260623,pca_q8,0,9,2981,0.028629601528960942,104123
20260623,pca_q8,0,10,1952,0.01874705876703514,104123
20260623,pca_q8,0,11,2996,0.028773661919076477,104123
20260623,pca_q8,0,12,5019,0.04820260653265849,104123
20260623,pca_q8,0,13,3048,0.029273071271477002,104123
20260623,pca_q8,0,14,5002,0.04803933809052755,104123
20260623,pca_q8,0,15,2985,0.02866801763299175,104123
20260623,pca_q8,0,16,2964,0.028466333086829998,104123
20260623,pca_q8,0,17,2941,0.028245440488652844,104123
20260623,pca_q8,0,18,2027,0.019467360717612823,104123
20260623,pca_q8,0,19,3002,0.02883128607512269,104123
20260623,pca_q8,0,20,5060,0.04859637159897429,104123
20260623,pca_q8,0,21,3033,0.029129010881361467,104123
20260623,pca_q8,0,22,5054,0.048538747442928076,104123
20260623,pca_q8,0,23,3005,0.0288600981531458,104123
20260623,pca_q8,0,24,2920,0.028043755942491092,104123
20260623,pca_q8,0,25,2960,0.02842791698279919,104123
20260623,pca_q8,0,26,2981,0.028629601528960942,104123
20260623,pca_q8,0,27,3020,0.029004158543261334,104123
20260623,pca_q8,0,28,2889,0.027746031136252316,104123
20260623,pca_q8,0,29,2967,0.028495145164853106,104123
20260623,pca_q8,0,30,2929,0.028130192176560414,104123
20260623,pca_q8,0,31,3006,0.0288697021791535,104123
20260623,pca_q8,1,0,1239,0.02623277084965383,47231
20260623,pca_q8,1,1,1310,0.027736020833774428,47231
20260623,pca_q8,1,2,2943,0.0623107704685482,47231
20260623,pca_q8,1,3,939,0.01988101035336961,47231
20260623,pca_q8,1,4,857,0.018144862484385255,47231
20260623,pca_q8,1,5,881,0.018653003324087994,47231
20260623,pca_q8,1,6,1945,0.04118058055090936,47231
20260623,pca_q8,1,7,1911,0.04046071436133048,47231
20260623,pca_q8,1,8,1342,0.02841354195337808,47231
20260623,pca_q8,1,9,1343,0.02843471448836569,47231
20260623,pca_q8,1,10,2982,0.06313649933306514,47231
20260623,pca_q8,1,11,882,0.018674175859075607,47231
20260623,pca_q8,1,12,865,0.018314242764286167,47231
20260623,pca_q8,1,13,847,0.017933137134509114,47231
20260623,pca_q8,1,14,1956,0.041413478435773116,47231
20260623,pca_q8,1,15,1921,0.040672439711206626,47231
20260623,pca_q8,1,16,1361,0.028815820118142745,47231
20260623,pca_q8,1,17,1327,0.028095953928563868,47231
20260623,pca_q8,1,18,2971,0.0629036014482014,47231
20260623,pca_q8,1,19,892,0.01888590120895175,47231
20260623,pca_q8,1,20,925,0.01958459486354301,47231
20260623,pca_q8,1,21,905,0.01916114416379073,47231
20260623,pca_q8,1,22,1897,0.040164298871503884,47231
