layer,band,x_source_energy_fraction,a_source_energy_fraction,h_energy_fraction,a_norm_share_in_band,x_norm_share_in_band,cross_term_over_h_energy,a_shapley_share_in_h_band,x_shapley_share_in_h_band,a_to_x_norm_ratio,a_adjacent_cosine,a_between_cosine,a_sequence_gap,a_sequence_accuracy,h_adjacent_cosine,h_between_cosine,h_sequence_gap,h_sequence_accuracy
4,5_10,7.197066985119612e-05,0.05642923825254438,7.784742853752835e-05,0.03741406712487223,0.9625859328751277,0.03937459848071743,0.05562820403859163,0.9443718372275217,0.19715041936484837,0.44018465280532837,0.023349212482571602,0.41683544032275677,0.611328125,0.18764129281044006,0.003504548454657197,0.18413674435578287,0.33984375
4,10_20,7.104533102782109e-05,0.11430287132510471,7.667036005351193e-05,0.07386562385230598,0.926134376147694,-0.000728761675568634,0.07355506923776539,0.9264448737321633,0.282412673910679,0.3584972321987152,0.01509029883891344,0.34340693335980177,0.734375,0.1840786337852478,-0.011051898822188377,0.19513053260743618,0.32421875
4,20_50,7.316090509184418e-05,0.2998124542149857,7.067886079522727e-05,0.16884861425333816,0.8311513857466618,-0.24563764506404298,0.08750536428797849,0.9124946155113512,0.45072192419383184,0.2803642153739929,0.013930893503129482,0.26643332187086344,0.748046875,0.07488469779491425,0.001037235022522509,0.07384746277239174,0.099609375
4,50_100,3.0097904704476174e-05,0.4282757881933406,1.151356804369787e-05,0.4136265042569477,0.5863734957430523,-3.458967648618391,0.11486337678365134,0.8851366232163487,0.8398795635522709,0.23295468091964722,0.015812654048204422,0.2171420268714428,0.791015625,-0.054339103400707245,-0.0008506121812388301,-0.053488491219468415,0.0390625
5,0_1,0.9995397541343751,0.058372162714549314,0.9994077424872944,4.806130617951692e-06,0.9999951938693821,-7.73730703081453e-05,-3.3880033122749505e-05,1.0000337860467547,0.0021922941675227405,0.5648287534713745,0.09880418330430984,0.46602457016706467,0.4765625,0.6399668455123901,0.5005837082862854,0.13938313722610474,0.359375
5,1_2,4.896458026914136e-05,0.0358918622250928,6.854861303913424e-05,0.056893992536018526,0.9431060074639814,0.24264948494839486,0.1644134408763418,0.8355866268223445,0.24561390506258401,0.5282109975814819,0.0356161929666996,0.49259480461478233,0.396484375,0.27215373516082764,0.010049943812191486,0.26210379134863615,0.27734375
5,2_5,9.860531371539231e-05,0.09566948075356398,0.0001427628984186893,0.07394389779616552,0.9260561022038345,0.2542010156755343,0.18224779023198842,0.8177521897643181,0.2825742092501616,0.5138208270072937,0.021991388872265816,0.4918294381350279,0.5703125,0.24166058003902435,0.00046656440827064216,0.2411940156307537,0.40625
5,5_10,9.446310439761041e-05,0.1112694668309617,0.00013452968093562346,0.08837361558321816,0.9116263844167819,0.22980386336250416,0.1829669475771429,0.8170330365019174,0.3113528666499012,0.4883196949958801,0.03730002045631409,0.45101967453956604,0.609375,0.23593087494373322,0.005124528426676989,0.23080634651705623,0.322265625
5,10_20,9.145762248890282e-05,0.16375294918333458,0.00012166324886895916,0.12842921589869757,0.8715707841013024,0.13755394651660308,0.17954024516940134,0.8204597665670321,0.3838668276388228,0.5182926654815674,0.01723795384168625,0.5010547116398811,0.677734375,0.25502991676330566,-0.008982174098491669,0.26401209086179733,0.34375
5,20_50,9.137703313653546e-05,0.27734408455281034,0.00010401943075560207,0.19986511727758371,0.8001348827224163,-0.09782592342412338,0.17050414796705524,0.8294958657601169,0.4997892368530147,0.47092747688293457,0.01772693358361721,0.45320054329931736,0.802734375,0.11395613849163055,-0.002191330539062619,0.11614746903069317,0.109375
