role,band,band_index,b,q,j,e,q_enrichment,j_enrichment,layer,split,floor_ratio
coarse,F4,4,2.5664935492386576e-06,0.00419913493110032,0.14048419892787933,0.9441378562162596,0.6406013774140699,1.0392560524515935,1,design,1e-06
coarse,F5,5,2.0011716515000444e-06,0.0054009950906522925,0.10566884279251099,0.7361724768521171,0.8239518260900173,0.7817034603589117,1,design,1e-06
coarse,F6,6,1.411748371538124e-06,0.006935195502133177,0.09058361500501633,0.5193409044087394,1.0580026277312868,0.6701078901780038,1,design,1e-06
coarse,F7,7,7.6344861099642e-07,0.007049838900289991,0.07923191785812378,0.280850398058185,1.0754921154414234,0.5861317558117326,1,design,1e-06
coarse,F8,8,4.758541081173462e-07,0.008293639494042474,0.0831751897931099,0.175052798259667,1.2652408105083606,0.6153027889682847,1,design,1e-06
coarse,F9,9,2.5540208525853814e-07,0.008128618656029396,0.07756582647562027,0.09395495161898632,1.240065964291761,0.5738065579146145,1,design,1e-06
coarse,F10,10,1.532091857825435e-07,0.008954319333576061,0.07876988500356674,0.056361175059364325,1.3660311928559983,0.5827137882097221,1,design,1e-06
coarse,F11,11,8.101292792161985e-08,0.008728916195284084,0.07186391949653625,0.029802284956613377,1.331644691056815,0.5316257191886083,1,design,1e-06
coarse,F12,12,4.665248098945085e-08,0.009337393747659246,0.07576973736286163,0.01716208225094357,1.4244713242974218,0.5605196794227844,1,design,1e-06
coarse,F13,13,2.712930324832996e-08,0.010876568925444694,0.08154121041297913,0.00998007659793936,1.6592810541939884,0.6032151451382923,1,design,1e-06
coarse,F14,14,1.3068682136463394e-08,0.010829378604582059,0.07855115830898285,0.004807585641332508,1.652081908407717,0.5810957198225739,1,design,1e-06
coarse,F15,15,4.528634356404382e-09,0.004249950210912059,0.0798916146159172,0.0016659520278596816,0.648353530839764,0.5910119761749599,1,design,1e-06
coarse,F16,16,7.559176062876816e-10,0.0007093997121400484,0.061828602105379105,0.0002780799618562424,0.10822286975545695,0.4573877307413319,1,design,1e-06
fine,F1,1,1.858789983089082e-05,0.003037739915838228,0.5058613419532776,6.147032450814799,0.1514379121881985,1.685794050571002,1,design,1e-06
fine,F2,2,7.211950560304103e-06,0.00435076566568146,0.40688714385032654,2.38499747315115,0.21689508881114675,1.3559603580462207,1,design,1e-06
fine,F3,3,5.513255018740892e-06,0.005695660587298082,0.3153125047683716,1.8232375802615697,0.28394101265085514,1.0507858587428032,1,design,1e-06
fine,F4,4,4.8890096877585165e-06,0.008019956726437648,0.2732282280921936,1.6167991799189319,0.3998122078059084,0.9105390809017767,1,design,1e-06
fine,F5,5,4.0862478272174485e-06,0.011101015674119091,0.20748190581798553,1.3513252290198796,0.5534096675268457,0.6914380155607911,1,design,1e-06
fine,F6,6,3.032947915926343e-06,0.014957595768095265,0.18279331922531128,1.0029981563515264,0.745668535566627,0.6091627576131668,1,design,1e-06
fine,F7,7,1.9387325664865784e-06,0.018012287205003544,0.19036753475666046,0.6411403175219993,0.8979515177839871,0.6344039974975743,1,design,1e-06
fine,F8,8,1.206199840453337e-06,0.02109924607317372,0.20162039995193481,0.3988911942118506,1.05184310131593,0.6719044183141211,1,design,1e-06
fine,F9,9,7.516456435041619e-07,0.02423340307673915,0.22263267636299133,0.24856977948929607,1.2080876140918042,0.741928291705862,1,design,1e-06
fine,F10,10,4.839525900024455e-07,0.028437223791117128,0.24847276508808136,0.16004348541070937,1.4176571789119166,0.8280409558418121,1,design,1e-06
fine,F11,11,3.0351594659805414e-07,0.032802722869012674,0.2754210829734802,0.10037295176173737,1.6352867602230552,0.9178468180345738,1,design,1e-06
fine,F12,12,1.9044000509893522e-07,0.03847182812499323,0.33228808641433716,0.06297865288315296,1.9179039321095235,1.1073573580260874,1,design,1e-06
fine,F13,13,1.0865104371760026e-07,0.04406969904084954,0.3586002588272095,0.03593098185503715,2.196969917902582,1.1950432514370044,1,design,1e-06
fine,F14,14,5.4250985925818895e-08,0.04469131943565626,0.35784703493118286,0.017940841838436118,2.2279590405303358,1.192533116233222,1,design,1e-06
fine,F15,15,1.962749252015783e-08,0.018419650057829973,0.39006102085113525,0.006490826534852957,0.9182594380287129,1.2998869329912728,1,design,1e-06
fine,F16,16,3.781543966852041e-09,0.003548834313654481,0.332293301820755,0.0012505594332820544,0.17691707455257116,1.1073747384827093,1,design,1e-06
coarse,F1,1,8.238239388447255e-05,0.004672319390099521,0.4780290722846985,7.607437148216375,0.22743139259042663,1.5369129112799862,2,confirmation,1e-06
coarse,F2,2,3.509103407850489e-05,0.009139526352137724,0.43217670917510986,3.240411253313437,0.44487866353659306,1.3894928212444275,2,confirmation,1e-06
coarse,F3,3,1.955331754288636e-05,0.011553515999444437,0.38260209560394287,1.8056119424645805,0.562382836806337,1.2301053109721125,2,confirmation,1e-06
coarse,F4,4,1.1561512110347394e-05,0.012512983895909763,0.35483449697494507,1.067624677684776,0.6090862193493418,1.1408296092994525,2,confirmation,1e-06
coarse,F5,5,8.036598956095986e-06,0.014681863914206613,0.36043113470077515,0.7421236329895584,0.7146593537476509,1.158823378463898,2,confirmation,1e-06
coarse,F6,6,5.274305749480845e-06,0.015242332066832705,0.32428061962127686,0.48704519980226463,0.7419408903490305,1.0425957333343714,2,confirmation,1e-06
