layer,template_index,D_coarse,D_fine,R
14,1,0.5161831378936768,0.7440863847732544,0.3656955157476912
14,2,0.5008981227874756,0.8440374732017517,0.5217941604611467
14,3,0.6212248802185059,0.7824376821517944,0.23072113748286843
15,0,0.6736412048339844,0.8121469020843506,0.18698360556664306
15,1,0.5308347344398499,0.7633436322212219,0.3632575615601744
15,2,0.4889999330043793,0.7868950963020325,0.4757325913860274
15,3,0.6291242837905884,0.7829033732414246,0.21868045587934357
16,0,0.6927315592765808,0.7963458299636841,0.13939098745219458
16,1,0.5104058384895325,0.7482928037643433,0.38258817924911903
16,2,0.5253872871398926,0.7750006318092346,0.38872816416821526
16,3,0.6057970523834229,0.7288476824760437,0.18491973689378607
17,0,0.6556702256202698,0.7735381722450256,0.1653170611228429
17,1,0.44959017634391785,0.724209725856781,0.4767445784634097
17,2,0.4507855474948883,0.7638683319091797,0.5274037119125261
17,3,0.5183010697364807,0.746737539768219,0.3651574818823132
18,0,0.6428833603858948,0.8152996897697449,0.23759245446423402
18,1,0.4993891417980194,0.7044668793678284,0.34405568215661636
18,2,0.49615588784217834,0.7293737530708313,0.3852961261029619
18,3,0.4995083808898926,0.7125135660171509,0.3551745754794248
19,0,0.6450009346008301,0.8268370628356934,0.2483558878599617
19,1,0.459293007850647,0.7227206826210022,0.45333444869739253
19,2,0.5016086101531982,0.7454359531402588,0.39614906468495825
19,3,0.488393098115921,0.7126660943031311,0.3778923892722679
20,0,0.5591025948524475,0.7900999784469604,0.3458265033039478
20,1,0.4214809834957123,0.6942547559738159,0.49906431652139915
20,2,0.4342879354953766,0.7255061268806458,0.5131617573748839
20,3,0.4667614996433258,0.6853357553482056,0.3840904521575126
21,0,0.638569712638855,0.8189565539360046,0.24880018334284643
21,1,0.51129549741745,0.741664707660675,0.3719495686713662
21,2,0.5394328832626343,0.7223302721977234,0.29196410350120294
21,3,0.4759282171726227,0.6825858354568481,0.3606212467882265
22,0,0.5796644687652588,0.8794698119163513,0.41686980543098073
