layer,band,rank,split_half_overlap,random_expectation,normalized_excess,stability_pass,reconstruction_relative_error,trace_relative_error,orthogonality_relative_error
15,F10,256,0.38353838423783515,0.0625,0.34244094318702417,True,4.583819176182018e-15,0.0,5.864635591974978e-15
15,F11,256,0.43530960318151163,0.0625,0.39766357672694574,True,4.583819176182018e-15,0.0,5.864635591974978e-15
15,F12,256,0.5063740441756964,0.0625,0.47346564712074285,True,4.583819176182018e-15,0.0,5.864635591974978e-15
15,F13,256,0.599979956252912,0.0625,0.5733119533364395,True,4.583819176182018e-15,0.0,5.864635591974978e-15
15,F14,256,0.709136895448772,0.0625,0.6897460218120235,True,4.583819176182018e-15,0.0,5.864635591974978e-15
15,F15,256,0.8362690130388999,0.0625,0.8253536139081599,True,4.583819176182018e-15,0.0,5.864635591974978e-15
15,F16,256,0.9542508550515372,0.0625,0.951200912054973,True,4.583819176182018e-15,0.0,5.864635591974978e-15
15,H,256,0.6795011519026813,0.0625,0.6581345620295268,True,4.583819176182018e-15,0.0,5.864635591974978e-15
15,M,1792,0.8642385557488748,0.4375,0.7586463213313329,True,4.583819176182018e-15,0.0,5.864635591974978e-15
15,T,2048,0.9188101633876222,0.5,0.8376203267752445,True,4.583819176182018e-15,0.0,5.864635591974978e-15
16,F1,256,0.7055572160303785,0.0625,0.6859276970990703,True,4.415385872340022e-15,0.0,5.856099150584868e-15
16,F2,256,0.4699707969812751,0.0625,0.43463551678002676,True,4.415385872340022e-15,0.0,5.856099150584868e-15
16,F3,256,0.3884223081144744,0.0625,0.3476504619887727,True,4.415385872340022e-15,0.0,5.856099150584868e-15
16,F4,256,0.3497867249656761,0.0625,0.30643917329672116,True,4.415385872340022e-15,0.0,5.856099150584868e-15
16,F5,256,0.3343577956012358,0.0625,0.2899816486413182,True,4.415385872340022e-15,0.0,5.856099150584868e-15
16,F6,256,0.3271899536297299,0.0625,0.28233595053837857,True,4.415385872340022e-15,0.0,5.856099150584868e-15
16,F7,256,0.3264819986803029,0.0625,0.2815807985923231,True,4.415385872340022e-15,0.0,5.856099150584868e-15
16,F8,256,0.33842406437705347,0.0625,0.29431900200219036,True,4.415385872340022e-15,0.0,5.856099150584868e-15
16,F9,256,0.35772706022779743,0.0625,0.3149088642429839,True,4.415385872340022e-15,0.0,5.856099150584868e-15
16,F10,256,0.38916440954103637,0.0625,0.3484420368437721,True,4.415385872340022e-15,0.0,5.856099150584868e-15
16,F11,256,0.43536661507988816,0.0625,0.3977243894185474,True,4.415385872340022e-15,0.0,5.856099150584868e-15
16,F12,256,0.5003661697481803,0.0625,0.4670572477313923,True,4.415385872340022e-15,0.0,5.856099150584868e-15
16,F13,256,0.5842498120881449,0.0625,0.5565331328940212,True,4.415385872340022e-15,0.0,5.856099150584868e-15
16,F14,256,0.6920365982248178,0.0625,0.671505704773139,True,4.415385872340022e-15,0.0,5.856099150584868e-15
16,F15,256,0.8227072764184193,0.0625,0.8108877615129806,True,4.415385872340022e-15,0.0,5.856099150584868e-15
16,F16,256,0.9482296357236649,0.0625,0.9447782781052426,True,4.415385872340022e-15,0.0,5.856099150584868e-15
16,H,256,0.7055572160303785,0.0625,0.6859276970990703,True,4.415385872340022e-15,0.0,5.856099150584868e-15
16,M,1792,0.8715614720859738,0.4375,0.7716648392639534,True,4.415385872340022e-15,0.0,5.856099150584868e-15
16,T,2048,0.9226976752481244,0.5,0.8453953504962488,True,4.415385872340022e-15,0.0,5.856099150584868e-15
17,F1,256,0.6682258485867831,0.0625,0.6461075718259021,True,4.498631131187274e-15,1.2704102949337198e-16,5.8883402156438e-15
17,F2,256,0.4354462414180693,0.0625,0.39780932417927395,True,4.498631131187274e-15,1.2704102949337198e-16,5.8883402156438e-15
17,F3,256,0.3409318312949981,0.0625,0.29699395338133133,True,4.498631131187274e-15,1.2704102949337198e-16,5.8883402156438e-15
17,F4,256,0.2969439873559673,0.0625,0.25007358651303174,True,4.498631131187274e-15,1.2704102949337198e-16,5.8883402156438e-15
17,F5,256,0.27853055660877407,0.0625,0.23043259371602567,False,4.498631131187274e-15,1.2704102949337198e-16,5.8883402156438e-15
17,F6,256,0.27318465098582856,0.0625,0.2247302943848838,False,4.498631131187274e-15,1.2704102949337198e-16,5.8883402156438e-15
17,F7,256,0.2755712530075307,0.0625,0.22727600320803276,False,4.498631131187274e-15,1.2704102949337198e-16,5.8883402156438e-15
17,F8,256,0.28686939688467605,0.0625,0.2393273566769878,False,4.498631131187274e-15,1.2704102949337198e-16,5.8883402156438e-15
17,F9,256,0.3096542640274323,0.0625,0.26363121496259445,True,4.498631131187274e-15,1.2704102949337198e-16,5.8883402156438e-15
17,F10,256,0.3425733719726776,0.0625,0.29874493010418945,True,4.498631131187274e-15,1.2704102949337198e-16,5.8883402156438e-15
17,F11,256,0.3894039150874732,0.0625,0.3486975094266381,True,4.498631131187274e-15,1.2704102949337198e-16,5.8883402156438e-15
17,F12,256,0.45528650495913875,0.0625,0.4189722719564147,True,4.498631131187274e-15,1.2704102949337198e-16,5.8883402156438e-15
17,F13,256,0.5476225726809691,0.0625,0.5174640775263671,True,4.498631131187274e-15,1.2704102949337198e-16,5.8883402156438e-15
17,F14,256,0.6707023196651662,0.0625,0.6487491409761773,True,4.498631131187274e-15,1.2704102949337198e-16,5.8883402156438e-15
17,F15,256,0.8181193302140425,0.0625,0.8059939522283119,True,4.498631131187274e-15,1.2704102949337198e-16,5.8883402156438e-15
17,F16,256,0.9499804328093775,0.0625,0.9466457949966693,True,4.498631131187274e-15,1.2704102949337198e-16,5.8883402156438e-15
17,H,256,0.6682258485867831,0.0625,0.6461075718259021,True,4.498631131187274e-15,1.2704102949337198e-16,5.8883402156438e-15
17,M,1792,0.8521652004209965,0.4375,0.737182578526216,True,4.498631131187274e-15,1.2704102949337198e-16,5.8883402156438e-15
17,T,2048,0.9094295607977754,0.5,0.8188591215955507,True,4.498631131187274e-15,1.2704102949337198e-16,5.8883402156438e-15
18,F1,256,0.6420892437323953,0.0625,0.6182285266478883,True,5.271767525248307e-15,1.1157257321192467e-16,5.871977916565616e-15
18,F2,256,0.40907953363994587,0.0625,0.3696848358826089,True,5.271767525248307e-15,1.1157257321192467e-16,5.871977916565616e-15
18,F3,256,0.32238296692192914,0.0625,0.27720849805005776,True,5.271767525248307e-15,1.1157257321192467e-16,5.871977916565616e-15
18,F4,256,0.2835563737765081,0.0625,0.23579346536160864,False,5.271767525248307e-15,1.1157257321192467e-16,5.871977916565616e-15
18,F5,256,0.26737899940171617,0.0625,0.21853759936183056,False,5.271767525248307e-15,1.1157257321192467e-16,5.871977916565616e-15
18,F6,256,0.26544374938376036,0.0625,0.21647333267601104,False,5.271767525248307e-15,1.1157257321192467e-16,5.871977916565616e-15
18,F7,256,0.27393183258798204,0.0625,0.2255272880938475,False,5.271767525248307e-15,1.1157257321192467e-16,5.871977916565616e-15
18,F8,256,0.2900303811196309,0.0625,0.24269907319427297,False,5.271767525248307e-15,1.1157257321192467e-16,5.871977916565616e-15
18,F9,256,0.3156546426615186,0.0625,0.27003161883895316,True,5.271767525248307e-15,1.1157257321192467e-16,5.871977916565616e-15
18,F10,256,0.3528008443575319,0.0625,0.3096542339813674,True,5.271767525248307e-15,1.1157257321192467e-16,5.871977916565616e-15
18,F11,256,0.40332541906990704,0.0625,0.3635471136745675,True,5.271767525248307e-15,1.1157257321192467e-16,5.871977916565616e-15
18,F12,256,0.47048936740913244,0.0625,0.43518865856974126,True,5.271767525248307e-15,1.1157257321192467e-16,5.871977916565616e-15
18,F13,256,0.560867279341259,0.0625,0.5315917646306763,True,5.271767525248307e-15,1.1157257321192467e-16,5.871977916565616e-15
18,F14,256,0.6711325230586228,0.0625,0.6492080245958644,True,5.271767525248307e-15,1.1157257321192467e-16,5.871977916565616e-15
