layer,omitted_parent,D_coarse,D_fine,R
19,5,0.26564860343933105,0.3093476891517639,0.15229145619926185
19,6,0.25803935527801514,0.33736395835876465,0.2680502295811779
19,7,0.269560843706131,0.3185286819934845,0.16691839430111735
20,0,0.21591228246688843,0.321464478969574,0.39801482674055494
20,1,0.25722530484199524,0.3188233971595764,0.21468496218501257
20,2,0.2687366306781769,0.33789509534835815,0.2290036466260942
20,3,0.2622142434120178,0.32307446002960205,0.20872093050849208
20,4,0.2440810352563858,0.3322247266769409,0.308311345649747
20,5,0.24422016739845276,0.3276853561401367,0.2939837240741541
20,6,0.23466382920742035,0.3531489968299866,0.4087360792453886
20,7,0.2451348900794983,0.3340966999530792,0.3096218411024765
21,0,0.19822272658348083,0.22674386203289032,0.1344297390902709
21,1,0.22888997197151184,0.2268911451101303,-0.008771050843578234
21,2,0.2481716424226761,0.243887796998024,-0.01741234215098695
21,3,0.24733789265155792,0.2292007952928543,-0.0761569335318702
21,4,0.20059843361377716,0.2439829409122467,0.1957932415632615
21,5,0.2267322540283203,0.24092552065849304,0.06071801916227384
21,6,0.2329632043838501,0.2585027515888214,0.10402581834052058
21,7,0.23128964006900787,0.247909277677536,0.06939208520463581
22,0,0.19893549382686615,0.2865656316280365,0.3649869700937316
22,1,0.24067512154579163,0.2940335273742676,0.20024581884041853
22,2,0.2574988007545471,0.31178802251815796,0.1913084790675585
22,3,0.24824638664722443,0.30354395508766174,0.20110467979888602
22,4,0.20489035546779633,0.3067663609981537,0.4036114340781877
22,5,0.22803355753421783,0.30264848470687866,0.28307921528255947
22,6,0.2318796068429947,0.3265847861766815,0.3424712960653863
22,7,0.23037709295749664,0.31135740876197815,0.3012239756900934
