condition,seed,metric,status,threshold,natural_load_error,calibrated_load_error,natural_mean_margin,calibrated_mean_margin,margin_delta_cal_minus_nat,calibrated_validity,calibrated_validity_reason
C1_random_unconstrained,21,M2_unsigned_prototype,ok,-6.779990523002322e-17,0.0,0.0,0.008407932938650874,0.008407932938650874,0.0,True,calibrated_load_margin_preserved
C1_random_unconstrained,21,M3_top1_projection,ok,-1.0200174038743626e-15,0.0,0.0,0.361041530100905,0.361041530100905,0.0,True,calibrated_load_margin_preserved
C1_random_unconstrained,21,M3_fullspan_control,ok,-1.2212453270876722e-15,0.5,0.21960000000000002,1.1801781774067877e-15,-4.180988888435877e-16,-1.5982770662503754e-15,False,degenerate_scores
C1_random_unconstrained,21,M4_matrix_response,ok,-1.8277854283759845,0.3426,0.0,1.8799210138475577,1.3222692096080828,-0.5576518042394749,True,calibrated_load_margin_preserved
C1_random_unconstrained,22,M1_signed_prototype,ok,5.551115123125783e-17,0.0,0.0,0.17617533705256594,0.17617533705256594,0.0,True,calibrated_load_margin_preserved
C1_random_unconstrained,22,M2_unsigned_prototype,ok,1.734723475976807e-17,0.0,0.0,0.17448069931459553,0.17448069931459553,0.0,True,calibrated_load_margin_preserved
C1_random_unconstrained,22,M3_top1_projection,ok,-3.0531133177191805e-16,0.0,0.0,0.6292408081079329,0.6292408081079329,0.0,True,calibrated_load_margin_preserved
C1_random_unconstrained,22,M3_fullspan_control,ok,2.220446049250313e-16,0.4747,0.08420000000000005,1.6583401318825964e-16,1.5035750422498496e-16,-1.547650896327468e-17,False,degenerate_scores
C1_random_unconstrained,22,M4_matrix_response,ok,-0.3508986965271929,0.1194,0.0,0.6512310866196637,0.6098394645731032,-0.04139162204656044,True,calibrated_load_margin_preserved
C1_random_unconstrained,23,M1_signed_prototype,ok,5.551115123125783e-17,0.0,0.0,0.3232673165430745,0.3232673165430745,0.0,True,calibrated_load_margin_preserved
C1_random_unconstrained,23,M2_unsigned_prototype,ok,-1.249000902703301e-16,0.0,0.0,0.31267453526666894,0.31267453526666894,0.0,True,calibrated_load_margin_preserved
C1_random_unconstrained,23,M3_top1_projection,ok,3.469446951953614e-17,0.0,0.0,0.257472736928157,0.257472736928157,0.0,True,calibrated_load_margin_preserved
C1_random_unconstrained,23,M3_fullspan_control,ok,4.440892098500626e-16,0.49970000000000003,0.01429999999999998,3.5519365226832634e-16,1.3428147482841269e-16,-2.2091217743991365e-16,False,degenerate_scores
C1_random_unconstrained,23,M4_matrix_response,ok,-0.9814543959377253,0.19140000000000001,0.0,1.2869925353627953,1.105131233116922,-0.18186130224587327,True,calibrated_load_margin_preserved
C1_random_unconstrained,24,M1_signed_prototype,ok,1.6653345369377348e-16,0.0,0.0,0.27790642946266414,0.27790642946266414,0.0,True,calibrated_load_margin_preserved
C1_random_unconstrained,24,M2_unsigned_prototype,ok,-9.020562075079397e-17,0.0,0.0,0.2712058334432433,0.2712058334432433,0.0,True,calibrated_load_margin_preserved
C1_random_unconstrained,24,M3_top1_projection,ok,1.4224732503009818e-16,0.0,0.0,0.10121928989384699,0.10121928989384699,0.0,True,calibrated_load_margin_preserved
C1_random_unconstrained,24,M3_fullspan_control,ok,3.3306690738754696e-16,0.4999,0.14229999999999998,3.47544215628659e-16,2.0741186546047175e-16,-1.4013235016818723e-16,False,degenerate_scores
C1_random_unconstrained,24,M4_matrix_response,ok,-1.683582023318439,0.5,0.0,1.6835820233184389,1.0614469109824112,-0.6221351123360277,True,calibrated_load_margin_preserved
C1_random_unconstrained,25,M1_signed_prototype,ok,1.249000902703301e-16,0.0,0.0,1.2428761068034078,1.2428761068034078,0.0,True,calibrated_load_margin_preserved
C1_random_unconstrained,25,M2_unsigned_prototype,ok,-1.214306433183765e-16,0.0,0.0,0.26981037363174676,0.26981037363174676,0.0,True,calibrated_load_margin_preserved
C1_random_unconstrained,25,M3_top1_projection,ok,9.540979117872439e-18,0.0,0.0,0.13601379646773862,0.13601379646773862,0.0,True,calibrated_load_margin_preserved
C1_random_unconstrained,25,M3_fullspan_control,ok,-1.1102230246251565e-16,0.2229,0.05920000000000003,1.531663684772866e-16,9.052758542793527e-17,-6.263878304935132e-17,False,degenerate_scores
C1_random_unconstrained,25,M4_matrix_response,ok,1.3112156081516335,0.5,0.0,1.3112156081516333,0.3305301519102544,-0.9806854562413789,True,calibrated_load_margin_preserved
C1_random_unconstrained,26,M1_signed_prototype,ok,1.1102230246251565e-16,0.0,0.0,1.10853167583545,1.10853167583545,0.0,True,calibrated_load_margin_preserved
C1_random_unconstrained,26,M2_unsigned_prototype,ok,-5.551115123125783e-17,0.0,0.0,0.5453121212598833,0.5453121212598833,0.0,True,calibrated_load_margin_preserved
C1_random_unconstrained,26,M3_top1_projection,ok,4.85722573273506e-16,0.0,0.0,0.5320018211989763,0.5320018211989763,0.0,True,calibrated_load_margin_preserved
C1_random_unconstrained,26,M3_fullspan_control,ok,2.220446049250313e-16,0.4698,0.05789999999999995,1.6995294060961896e-16,1.3724577030416185e-16,-3.270717030545711e-17,False,degenerate_scores
C1_random_unconstrained,26,M4_matrix_response,ok,0.7867590663074673,0.34619999999999995,0.0,0.807483083378725,0.5655058585058034,-0.24197722487292161,True,calibrated_load_margin_preserved
C1_random_unconstrained,27,M1_signed_prototype,ok,-5.551115123125783e-17,0.0,0.0,0.23221984348615315,0.23221984348615315,0.0,True,calibrated_load_margin_preserved
C1_random_unconstrained,27,M2_unsigned_prototype,ok,2.7755575615628914e-17,0.0,0.0,0.22832484508742332,0.22832484508742332,0.0,True,calibrated_load_margin_preserved
C1_random_unconstrained,27,M3_top1_projection,ok,1.1806961658367143e-16,0.0,0.0,0.03399125809263393,0.03399125809263393,0.0,True,calibrated_load_margin_preserved
C1_random_unconstrained,27,M3_fullspan_control,ok,2.220446049250313e-16,0.49150000000000005,0.21009999999999995,2.247757535656092e-16,1.9173551635276454e-16,-3.3040237212844644e-17,False,degenerate_scores
C1_random_unconstrained,27,M4_matrix_response,ok,-0.473690358810251,0.29359999999999997,0.0,0.5066522953261662,0.37835628295413076,-0.12829601237203542,True,calibrated_load_margin_preserved
C1_random_unconstrained,28,M1_signed_prototype,ok,-5.551115123125783e-17,0.0,0.0,0.12046187736765973,0.12046187736765973,0.0,True,calibrated_load_margin_preserved
C1_random_unconstrained,28,M2_unsigned_prototype,ok,8.847089727481716e-17,0.0,0.0,0.11992153350109094,0.11992153350109094,0.0,True,calibrated_load_margin_preserved
C1_random_unconstrained,28,M3_top1_projection,ok,-5.898059818321144e-17,0.0,0.0,0.234393482665403,0.234393482665403,0.0,True,calibrated_load_margin_preserved
C1_random_unconstrained,28,M3_fullspan_control,ok,-3.3306690738754696e-16,0.4779,0.11850000000000005,3.360201006330499e-16,2.9576341376014173e-17,-3.0644375925703573e-16,False,degenerate_scores
C1_random_unconstrained,28,M4_matrix_response,ok,0.707000268573072,0.17200000000000004,0.0,0.9937783432787779,0.8752733754321245,-0.11850496784665343,True,calibrated_load_margin_preserved
C1_random_unconstrained,29,M1_signed_prototype,ok,-5.134781488891349e-16,0.0,0.0,1.2593796911722719,1.2593796911722719,0.0,True,calibrated_load_margin_preserved
C1_random_unconstrained,29,M2_unsigned_prototype,ok,1.0408340855860843e-16,0.0,0.0,0.1853152515900169,0.1853152515900169,0.0,True,calibrated_load_margin_preserved
C1_random_unconstrained,29,M3_top1_projection,ok,5.898059818321144e-17,0.0,0.0,0.2947553451730474,0.2947553451730474,0.0,True,calibrated_load_margin_preserved
C1_random_unconstrained,29,M3_fullspan_control,ok,0.0,0.38939999999999997,0.38939999999999997,1.0861311849907906e-16,1.0861311849907906e-16,0.0,False,degenerate_scores
C1_random_unconstrained,29,M4_matrix_response,ok,-2.1135081604131436,0.3026,0.0,2.239889932404201,1.6532433131713828,-0.5866466192328184,True,calibrated_load_margin_preserved
C1_random_unconstrained,30,M1_signed_prototype,ok,1.6653345369377348e-16,0.0,0.0,0.9297871061199201,0.9297871061199201,0.0,True,calibrated_load_margin_preserved
C1_random_unconstrained,30,M2_unsigned_prototype,ok,-3.0531133177191805e-16,0.0,0.0,0.6352089474402822,0.6352089474402822,0.0,True,calibrated_load_margin_preserved
C1_random_unconstrained,30,M3_top1_projection,ok,-8.326672684688674e-17,0.0,0.0,0.6336629409384084,0.6336629409384084,0.0,True,calibrated_load_margin_preserved
C1_random_unconstrained,30,M3_fullspan_control,ok,-2.220446049250313e-16,0.3755,0.17259999999999998,2.552402733613235e-16,2.3914203950425873e-17,-2.3132606941089763e-16,False,degenerate_scores
C1_random_unconstrained,30,M4_matrix_response,ok,-1.8380036179035462,0.5,0.0,1.8380036179035455,0.8803596405135169,-0.9576439773900286,True,calibrated_load_margin_preserved
C1_random_unconstrained,31,M1_signed_prototype,ok,2.914335439641036e-16,0.0,0.0,1.258142573424643,1.258142573424643,0.0,True,calibrated_load_margin_preserved
C1_random_unconstrained,31,M2_unsigned_prototype,ok,-1.1796119636642288e-16,0.0,0.0,0.19317182300723948,0.19317182300723948,0.0,True,calibrated_load_margin_preserved
