condition,seed,metric,sign_sensitivity_mean,sign_sensitivity_max,n_variants,status
C2_orthogonal_equal_singular,39,M3_top1_projection,,,0,not_applicable
C2_orthogonal_equal_singular,39,M3_fullspan_control,,,0,not_applicable
C2_orthogonal_equal_singular,39,M4_matrix_response,,,0,not_applicable
C2_orthogonal_equal_singular,40,M1_signed_prototype,,,0,undefined_prototype_equal_singular_values/undefined_prototype_equal_singular_values
C2_orthogonal_equal_singular,40,M2_unsigned_prototype,,,0,undefined_prototype_equal_singular_values/undefined_prototype_equal_singular_values
C2_orthogonal_equal_singular,40,M3_top1_projection,,,0,not_applicable
C2_orthogonal_equal_singular,40,M3_fullspan_control,,,0,not_applicable
C2_orthogonal_equal_singular,40,M4_matrix_response,,,0,not_applicable
C2_orthogonal_equal_singular,41,M1_signed_prototype,,,0,undefined_prototype_equal_singular_values/undefined_prototype_equal_singular_values
C2_orthogonal_equal_singular,41,M2_unsigned_prototype,,,0,undefined_prototype_equal_singular_values/undefined_prototype_equal_singular_values
C2_orthogonal_equal_singular,41,M3_top1_projection,,,0,not_applicable
C2_orthogonal_equal_singular,41,M3_fullspan_control,,,0,not_applicable
C2_orthogonal_equal_singular,41,M4_matrix_response,,,0,not_applicable
C2_orthogonal_equal_singular,42,M1_signed_prototype,,,0,undefined_prototype_equal_singular_values/undefined_prototype_equal_singular_values
C2_orthogonal_equal_singular,42,M2_unsigned_prototype,,,0,undefined_prototype_equal_singular_values/undefined_prototype_equal_singular_values
C2_orthogonal_equal_singular,42,M3_top1_projection,,,0,not_applicable
C2_orthogonal_equal_singular,42,M3_fullspan_control,,,0,not_applicable
C2_orthogonal_equal_singular,42,M4_matrix_response,,,0,not_applicable
C2_orthogonal_equal_singular,43,M1_signed_prototype,,,0,undefined_prototype_equal_singular_values/undefined_prototype_equal_singular_values
C2_orthogonal_equal_singular,43,M2_unsigned_prototype,,,0,undefined_prototype_equal_singular_values/undefined_prototype_equal_singular_values
C2_orthogonal_equal_singular,43,M3_top1_projection,,,0,not_applicable
C2_orthogonal_equal_singular,43,M3_fullspan_control,,,0,not_applicable
C2_orthogonal_equal_singular,43,M4_matrix_response,,,0,not_applicable
C2_orthogonal_equal_singular,44,M1_signed_prototype,,,0,undefined_prototype_equal_singular_values/undefined_prototype_equal_singular_values
C2_orthogonal_equal_singular,44,M2_unsigned_prototype,,,0,undefined_prototype_equal_singular_values/undefined_prototype_equal_singular_values
C2_orthogonal_equal_singular,44,M3_top1_projection,,,0,not_applicable
C2_orthogonal_equal_singular,44,M3_fullspan_control,,,0,not_applicable
C2_orthogonal_equal_singular,44,M4_matrix_response,,,0,not_applicable
C2_orthogonal_equal_singular,45,M1_signed_prototype,,,0,undefined_prototype_equal_singular_values/undefined_prototype_equal_singular_values
C2_orthogonal_equal_singular,45,M2_unsigned_prototype,,,0,undefined_prototype_equal_singular_values/undefined_prototype_equal_singular_values
C2_orthogonal_equal_singular,45,M3_top1_projection,,,0,not_applicable
C2_orthogonal_equal_singular,45,M3_fullspan_control,,,0,not_applicable
C2_orthogonal_equal_singular,45,M4_matrix_response,,,0,not_applicable
C2_orthogonal_equal_singular,46,M1_signed_prototype,,,0,undefined_prototype_equal_singular_values/undefined_prototype_equal_singular_values
C2_orthogonal_equal_singular,46,M2_unsigned_prototype,,,0,undefined_prototype_equal_singular_values/undefined_prototype_equal_singular_values
C2_orthogonal_equal_singular,46,M3_top1_projection,,,0,not_applicable
C2_orthogonal_equal_singular,46,M3_fullspan_control,,,0,not_applicable
C2_orthogonal_equal_singular,46,M4_matrix_response,,,0,not_applicable
C2_orthogonal_equal_singular,47,M1_signed_prototype,,,0,undefined_prototype_equal_singular_values/undefined_prototype_equal_singular_values
C2_orthogonal_equal_singular,47,M2_unsigned_prototype,,,0,undefined_prototype_equal_singular_values/undefined_prototype_equal_singular_values
C2_orthogonal_equal_singular,47,M3_top1_projection,,,0,not_applicable
C2_orthogonal_equal_singular,47,M3_fullspan_control,,,0,not_applicable
C2_orthogonal_equal_singular,47,M4_matrix_response,,,0,not_applicable
C2_orthogonal_equal_singular,48,M1_signed_prototype,,,0,undefined_prototype_equal_singular_values/undefined_prototype_equal_singular_values
C2_orthogonal_equal_singular,48,M2_unsigned_prototype,,,0,undefined_prototype_equal_singular_values/undefined_prototype_equal_singular_values
C2_orthogonal_equal_singular,48,M3_top1_projection,,,0,not_applicable
C2_orthogonal_equal_singular,48,M3_fullspan_control,,,0,not_applicable
C2_orthogonal_equal_singular,48,M4_matrix_response,,,0,not_applicable
C2_orthogonal_equal_singular,49,M1_signed_prototype,,,0,undefined_prototype_equal_singular_values/undefined_prototype_equal_singular_values
C2_orthogonal_equal_singular,49,M2_unsigned_prototype,,,0,undefined_prototype_equal_singular_values/undefined_prototype_equal_singular_values
C2_orthogonal_equal_singular,49,M3_top1_projection,,,0,not_applicable
C2_orthogonal_equal_singular,49,M3_fullspan_control,,,0,not_applicable
C2_orthogonal_equal_singular,49,M4_matrix_response,,,0,not_applicable
C2_orthogonal_equal_singular,50,M1_signed_prototype,,,0,undefined_prototype_equal_singular_values/undefined_prototype_equal_singular_values
C2_orthogonal_equal_singular,50,M2_unsigned_prototype,,,0,undefined_prototype_equal_singular_values/undefined_prototype_equal_singular_values
C2_orthogonal_equal_singular,50,M3_top1_projection,,,0,not_applicable
C2_orthogonal_equal_singular,50,M3_fullspan_control,,,0,not_applicable
C2_orthogonal_equal_singular,50,M4_matrix_response,,,0,not_applicable
C2_orthogonal_equal_singular,51,M1_signed_prototype,,,0,undefined_prototype_equal_singular_values/undefined_prototype_equal_singular_values
C2_orthogonal_equal_singular,51,M2_unsigned_prototype,,,0,undefined_prototype_equal_singular_values/undefined_prototype_equal_singular_values
C2_orthogonal_equal_singular,51,M3_top1_projection,,,0,not_applicable
C2_orthogonal_equal_singular,51,M3_fullspan_control,,,0,not_applicable
C2_orthogonal_equal_singular,51,M4_matrix_response,,,0,not_applicable
C2_orthogonal_equal_singular,52,M1_signed_prototype,,,0,undefined_prototype_equal_singular_values/undefined_prototype_equal_singular_values
C2_orthogonal_equal_singular,52,M2_unsigned_prototype,,,0,undefined_prototype_equal_singular_values/undefined_prototype_equal_singular_values
C2_orthogonal_equal_singular,52,M3_top1_projection,,,0,not_applicable
C2_orthogonal_equal_singular,52,M3_fullspan_control,,,0,not_applicable
C2_orthogonal_equal_singular,52,M4_matrix_response,,,0,not_applicable
C2_orthogonal_equal_singular,53,M1_signed_prototype,,,0,undefined_prototype_equal_singular_values/undefined_prototype_equal_singular_values
C2_orthogonal_equal_singular,53,M2_unsigned_prototype,,,0,undefined_prototype_equal_singular_values/undefined_prototype_equal_singular_values
C2_orthogonal_equal_singular,53,M3_top1_projection,,,0,not_applicable
C2_orthogonal_equal_singular,53,M3_fullspan_control,,,0,not_applicable
C2_orthogonal_equal_singular,53,M4_matrix_response,,,0,not_applicable
C2_orthogonal_equal_singular,54,M1_signed_prototype,,,0,undefined_prototype_equal_singular_values/undefined_prototype_equal_singular_values
C2_orthogonal_equal_singular,54,M2_unsigned_prototype,,,0,undefined_prototype_equal_singular_values/undefined_prototype_equal_singular_values
C2_orthogonal_equal_singular,54,M3_top1_projection,,,0,not_applicable
C2_orthogonal_equal_singular,54,M3_fullspan_control,,,0,not_applicable
C2_orthogonal_equal_singular,54,M4_matrix_response,,,0,not_applicable
C2_orthogonal_equal_singular,55,M1_signed_prototype,,,0,undefined_prototype_equal_singular_values/undefined_prototype_equal_singular_values
C2_orthogonal_equal_singular,55,M2_unsigned_prototype,,,0,undefined_prototype_equal_singular_values/undefined_prototype_equal_singular_values
C2_orthogonal_equal_singular,55,M3_top1_projection,,,0,not_applicable
C2_orthogonal_equal_singular,55,M3_fullspan_control,,,0,not_applicable
C2_orthogonal_equal_singular,55,M4_matrix_response,,,0,not_applicable
C2_orthogonal_equal_singular,56,M1_signed_prototype,,,0,undefined_prototype_equal_singular_values/undefined_prototype_equal_singular_values
C2_orthogonal_equal_singular,56,M2_unsigned_prototype,,,0,undefined_prototype_equal_singular_values/undefined_prototype_equal_singular_values
C2_orthogonal_equal_singular,56,M3_top1_projection,,,0,not_applicable
C2_orthogonal_equal_singular,56,M3_fullspan_control,,,0,not_applicable
C2_orthogonal_equal_singular,56,M4_matrix_response,,,0,not_applicable
C2_orthogonal_equal_singular,57,M1_signed_prototype,,,0,undefined_prototype_equal_singular_values/undefined_prototype_equal_singular_values
C2_orthogonal_equal_singular,57,M2_unsigned_prototype,,,0,undefined_prototype_equal_singular_values/undefined_prototype_equal_singular_values
C2_orthogonal_equal_singular,57,M3_top1_projection,,,0,not_applicable
C2_orthogonal_equal_singular,57,M3_fullspan_control,,,0,not_applicable
C2_orthogonal_equal_singular,57,M4_matrix_response,,,0,not_applicable
C2_orthogonal_equal_singular,58,M1_signed_prototype,,,0,undefined_prototype_equal_singular_values/undefined_prototype_equal_singular_values
C2_orthogonal_equal_singular,58,M2_unsigned_prototype,,,0,undefined_prototype_equal_singular_values/undefined_prototype_equal_singular_values
C2_orthogonal_equal_singular,58,M3_top1_projection,,,0,not_applicable
C2_orthogonal_equal_singular,58,M3_fullspan_control,,,0,not_applicable
C2_orthogonal_equal_singular,58,M4_matrix_response,,,0,not_applicable
C2_orthogonal_equal_singular,59,M1_signed_prototype,,,0,undefined_prototype_equal_singular_values/undefined_prototype_equal_singular_values
C2_orthogonal_equal_singular,59,M2_unsigned_prototype,,,0,undefined_prototype_equal_singular_values/undefined_prototype_equal_singular_values
C2_orthogonal_equal_singular,59,M3_top1_projection,,,0,not_applicable
C2_orthogonal_equal_singular,59,M3_fullspan_control,,,0,not_applicable
C2_orthogonal_equal_singular,59,M4_matrix_response,,,0,not_applicable
C2_orthogonal_equal_singular,60,M1_signed_prototype,,,0,undefined_prototype_equal_singular_values/undefined_prototype_equal_singular_values
C2_orthogonal_equal_singular,60,M2_unsigned_prototype,,,0,undefined_prototype_equal_singular_values/undefined_prototype_equal_singular_values
C2_orthogonal_equal_singular,60,M3_top1_projection,,,0,not_applicable
C2_orthogonal_equal_singular,60,M3_fullspan_control,,,0,not_applicable
C2_orthogonal_equal_singular,60,M4_matrix_response,,,0,not_applicable
C2_orthogonal_equal_singular,61,M1_signed_prototype,,,0,undefined_prototype_equal_singular_values/undefined_prototype_equal_singular_values
C2_orthogonal_equal_singular,61,M2_unsigned_prototype,,,0,undefined_prototype_equal_singular_values/undefined_prototype_equal_singular_values
C2_orthogonal_equal_singular,61,M3_top1_projection,,,0,not_applicable
C2_orthogonal_equal_singular,61,M3_fullspan_control,,,0,not_applicable
C2_orthogonal_equal_singular,61,M4_matrix_response,,,0,not_applicable
C2_orthogonal_equal_singular,62,M1_signed_prototype,,,0,undefined_prototype_equal_singular_values/undefined_prototype_equal_singular_values
C2_orthogonal_equal_singular,62,M2_unsigned_prototype,,,0,undefined_prototype_equal_singular_values/undefined_prototype_equal_singular_values
C2_orthogonal_equal_singular,62,M3_top1_projection,,,0,not_applicable
C2_orthogonal_equal_singular,62,M3_fullspan_control,,,0,not_applicable
C2_orthogonal_equal_singular,62,M4_matrix_response,,,0,not_applicable
C2_orthogonal_equal_singular,63,M1_signed_prototype,,,0,undefined_prototype_equal_singular_values/undefined_prototype_equal_singular_values
C2_orthogonal_equal_singular,63,M2_unsigned_prototype,,,0,undefined_prototype_equal_singular_values/undefined_prototype_equal_singular_values
C2_orthogonal_equal_singular,63,M3_top1_projection,,,0,not_applicable
C2_orthogonal_equal_singular,63,M3_fullspan_control,,,0,not_applicable
C2_orthogonal_equal_singular,63,M4_matrix_response,,,0,not_applicable
C2_orthogonal_equal_singular,64,M1_signed_prototype,,,0,undefined_prototype_equal_singular_values/undefined_prototype_equal_singular_values
C2_orthogonal_equal_singular,64,M2_unsigned_prototype,,,0,undefined_prototype_equal_singular_values/undefined_prototype_equal_singular_values
C2_orthogonal_equal_singular,64,M3_top1_projection,,,0,not_applicable
C2_orthogonal_equal_singular,64,M3_fullspan_control,,,0,not_applicable
C2_orthogonal_equal_singular,64,M4_matrix_response,,,0,not_applicable
C2_orthogonal_equal_singular,65,M1_signed_prototype,,,0,undefined_prototype_equal_singular_values/undefined_prototype_equal_singular_values
C2_orthogonal_equal_singular,65,M2_unsigned_prototype,,,0,undefined_prototype_equal_singular_values/undefined_prototype_equal_singular_values
C2_orthogonal_equal_singular,65,M3_top1_projection,,,0,not_applicable
C2_orthogonal_equal_singular,65,M3_fullspan_control,,,0,not_applicable
C2_orthogonal_equal_singular,65,M4_matrix_response,,,0,not_applicable
C2_orthogonal_equal_singular,66,M1_signed_prototype,,,0,undefined_prototype_equal_singular_values/undefined_prototype_equal_singular_values
C2_orthogonal_equal_singular,66,M2_unsigned_prototype,,,0,undefined_prototype_equal_singular_values/undefined_prototype_equal_singular_values
C2_orthogonal_equal_singular,66,M3_top1_projection,,,0,not_applicable
C2_orthogonal_equal_singular,66,M3_fullspan_control,,,0,not_applicable
C2_orthogonal_equal_singular,66,M4_matrix_response,,,0,not_applicable
C2_orthogonal_equal_singular,67,M1_signed_prototype,,,0,undefined_prototype_equal_singular_values/undefined_prototype_equal_singular_values
C2_orthogonal_equal_singular,67,M2_unsigned_prototype,,,0,undefined_prototype_equal_singular_values/undefined_prototype_equal_singular_values
C2_orthogonal_equal_singular,67,M3_top1_projection,,,0,not_applicable
C2_orthogonal_equal_singular,67,M3_fullspan_control,,,0,not_applicable
C2_orthogonal_equal_singular,67,M4_matrix_response,,,0,not_applicable
C2_orthogonal_equal_singular,68,M1_signed_prototype,,,0,undefined_prototype_equal_singular_values/undefined_prototype_equal_singular_values
C2_orthogonal_equal_singular,68,M2_unsigned_prototype,,,0,undefined_prototype_equal_singular_values/undefined_prototype_equal_singular_values
C2_orthogonal_equal_singular,68,M3_top1_projection,,,0,not_applicable
C2_orthogonal_equal_singular,68,M3_fullspan_control,,,0,not_applicable
C2_orthogonal_equal_singular,68,M4_matrix_response,,,0,not_applicable
