dim,seed,lr,variant,trainable_parameters,first_stable_tail_step,success,final_tail_loss,final_a_bayes_gap,final_cake_loss,final_the_retention_gap,base_max_abs_drift,final_embedding_common_energy_fraction,final_embedding_residual_energy_fraction,final_map_common_energy_fraction,final_map_residual_energy_fraction
8,2,0.01,residual_oracle,14,490,1,0.5529878735542297,0.005502581596374512,0.001860842457972467,3.2186508178710938e-06,0.0,3.2893660533014554e-15,1.0,5.568767289746562e-15,0.9999998807907104
8,2,0.03,residual_oracle,14,165,1,0.5499756932258606,0.0009833574295043945,0.00035568061866797507,3.2186508178710938e-06,0.0,3.1727518510794037e-15,0.9999999403953552,1.1409111130074746e-14,0.9999999403953552
8,2,0.1,residual_oracle,14,80,1,0.5494400858879089,0.00021636486053466797,5.1456576329655945e-05,3.2186508178710938e-06,0.0,2.4012335851387187e-15,1.0000001192092896,7.56966578720035e-15,0.9999997615814209
8,2,0.3,residual_oracle,14,55,1,0.5493528246879578,8.618831634521484e-05,7.112780167517485e-06,3.2186508178710938e-06,0.0,3.861388154889492e-15,1.0000001192092896,5.822625181621044e-15,0.9999998211860657
8,2,1.0,residual_oracle,14,75,1,0.5493060946464539,-1.1920928955078125e-07,0.0,3.2186508178710938e-06,0.0,3.334184260606575e-15,1.0,4.3111274980142146e-15,1.0000001192092896
8,3,0.003,common_oracle,14,,0,0.9906508326530457,0.7101902961730957,0.1724988967180252,3.337860107421875e-06,0.0,0.9999996423721313,1.1819236859838753e-14,0.999999463558197,1.4507450077946675e-14
8,3,0.01,common_oracle,14,585,1,0.5519409775733948,0.003861546516418457,0.0014081354020163417,3.337860107421875e-06,0.0,0.9999995231628418,1.9048576667293586e-14,0.9999997615814209,1.866557377953361e-14
8,3,0.03,common_oracle,14,225,1,0.5496334433555603,0.00047409534454345703,0.00018044491298496723,3.337860107421875e-06,0.0,0.9999995827674866,1.5317105155304538e-14,0.9999997019767761,2.0054934817860526e-14
8,3,0.1,common_oracle,14,115,1,0.5494544506072998,0.00025451183319091797,4.215902299620211e-05,3.337860107421875e-06,0.0,0.9999994039535522,1.2879661970461882e-14,0.9999997615814209,2.0175701387348255e-14
8,3,0.3,common_oracle,14,50,1,0.5493118166923523,1.1324882507324219e-05,0.0,3.337860107421875e-06,0.0,0.9999995827674866,1.6008658428826733e-14,0.9999997019767761,1.203463479722668e-14
8,3,1.0,common_oracle,14,70,1,0.549308180809021,4.0531158447265625e-06,0.0,3.337860107421875e-06,0.0,0.9999998211860657,2.1354510363778487e-14,0.9999997019767761,1.5117495065020484e-14
8,3,0.003,residual_oracle,14,,0,20.34977149963379,16.309978485107422,23.290952682495117,3.337860107421875e-06,0.0,8.247809682134562e-15,1.000000238418579,4.7096649700268355e-15,1.000000238418579
