case,condition,seed,axis,axis_value,expert,count,fraction
C1,B0,20260522,b_id,31,1,0,0.0
C1,B0,20260522,b_id,31,2,0,0.0
C1,B0,20260522,b_id,31,3,0,0.0
C1,B0,20260522,b_id,32,0,32,1.0
C1,B0,20260522,b_id,32,1,0,0.0
C1,B0,20260522,b_id,32,2,0,0.0
C1,B0,20260522,b_id,32,3,0,0.0
C1,B0,20260522,b_id,33,0,32,1.0
C1,B0,20260522,b_id,33,1,0,0.0
C1,B0,20260522,b_id,33,2,0,0.0
C1,B0,20260522,b_id,33,3,0,0.0
C1,B0,20260522,b_id,34,0,32,1.0
C1,B0,20260522,b_id,34,1,0,0.0
C1,B0,20260522,b_id,34,2,0,0.0
C1,B0,20260522,b_id,34,3,0,0.0
C1,B0,20260522,b_id,35,0,32,1.0
C1,B0,20260522,b_id,35,1,0,0.0
C1,B0,20260522,b_id,35,2,0,0.0
C1,B0,20260522,b_id,35,3,0,0.0
C1,B0,20260522,b_id,36,0,32,1.0
C1,B0,20260522,b_id,36,1,0,0.0
C1,B0,20260522,b_id,36,2,0,0.0
C1,B0,20260522,b_id,36,3,0,0.0
C1,B0,20260522,b_id,37,0,32,1.0
C1,B0,20260522,b_id,37,1,0,0.0
C1,B0,20260522,b_id,37,2,0,0.0
C1,B0,20260522,b_id,37,3,0,0.0
C1,B0,20260522,b_id,38,0,32,1.0
C1,B0,20260522,b_id,38,1,0,0.0
C1,B0,20260522,b_id,38,2,0,0.0
C1,B0,20260522,b_id,38,3,0,0.0
C1,B0,20260522,b_id,39,0,32,1.0
C1,B0,20260522,b_id,39,1,0,0.0
C1,B0,20260522,b_id,39,2,0,0.0
C1,B0,20260522,b_id,39,3,0,0.0
C1,B0,20260522,b_id,40,0,32,1.0
C1,B0,20260522,b_id,40,1,0,0.0
C1,B0,20260522,b_id,40,2,0,0.0
C1,B0,20260522,b_id,40,3,0,0.0
C1,B0,20260522,b_id,41,0,32,1.0
C1,B0,20260522,b_id,41,1,0,0.0
C1,B0,20260522,b_id,41,2,0,0.0
C1,B0,20260522,b_id,41,3,0,0.0
C1,B0,20260522,b_id,42,0,32,1.0
C1,B0,20260522,b_id,42,1,0,0.0
C1,B0,20260522,b_id,42,2,0,0.0
C1,B0,20260522,b_id,42,3,0,0.0
C1,B0,20260522,b_id,43,0,32,1.0
C1,B0,20260522,b_id,43,1,0,0.0
C1,B0,20260522,b_id,43,2,0,0.0
C1,B0,20260522,b_id,43,3,0,0.0
C1,B0,20260522,b_id,44,0,32,1.0
C1,B0,20260522,b_id,44,1,0,0.0
C1,B0,20260522,b_id,44,2,0,0.0
C1,B0,20260522,b_id,44,3,0,0.0
C1,B0,20260522,b_id,45,0,32,1.0
C1,B0,20260522,b_id,45,1,0,0.0
C1,B0,20260522,b_id,45,2,0,0.0
C1,B0,20260522,b_id,45,3,0,0.0
C1,B0,20260522,b_id,46,0,32,1.0
C1,B0,20260522,b_id,46,1,0,0.0
C1,B0,20260522,b_id,46,2,0,0.0
C1,B0,20260522,b_id,46,3,0,0.0
C1,B0,20260522,b_id,47,0,32,1.0
C1,B0,20260522,b_id,47,1,0,0.0
C1,B0,20260522,b_id,47,2,0,0.0
C1,B0,20260522,b_id,47,3,0,0.0
