layer,band,x_source_energy_fraction,a_source_energy_fraction,h_energy_fraction,a_norm_share_in_band,x_norm_share_in_band,cross_term_over_h_energy,a_shapley_share_in_h_band,x_shapley_share_in_h_band,a_to_x_norm_ratio,a_adjacent_cosine,a_between_cosine,a_sequence_gap,a_sequence_accuracy,h_adjacent_cosine,h_between_cosine,h_sequence_gap,h_sequence_accuracy,x_own_adjacent_cosine,x_own_between_cosine,x_own_sequence_gap,x_own_sequence_accuracy,a_own_adjacent_cosine,a_own_between_cosine,a_own_sequence_gap,a_own_sequence_accuracy
18,2_5,0.0029923201330131523,0.06348565982113316,0.003552262872434983,0.030031528766511526,0.9699684712334885,0.13242912173033894,0.09226904176565358,0.9077309952867763,0.17595836240000962,0.7970343232154846,0.03053867258131504,0.7664956506341696,0.80078125,0.4594019949436188,-0.006563222501426935,0.4659652174450457,0.44921875,0.3867875337600708,-0.0003078779554925859,0.3870954117155634,0.421875,0.711601734161377,0.012796376831829548,0.6988053573295474,0.412109375
18,5_10,0.002901774181517626,0.06553596995153628,0.003314090331832561,0.03190696206536771,0.9680930379346323,0.0964715108807942,0.07706460246388798,0.9229353284660885,0.1815449528493071,0.7366657853126526,0.03960809484124184,0.6970576904714108,0.822265625,0.3678768277168274,0.0027585045900195837,0.3651183231268078,0.326171875,0.34408560395240784,0.001762046362273395,0.34232355759013444,0.361328125,0.6419950723648071,0.017719339579343796,0.6242757327854633,0.32421875
18,10_20,0.0027831445256279066,0.126151087249526,0.003241506061063492,0.06204268081793604,0.9379573191820639,0.08553830761154832,0.09950480498280118,0.9004951349930468,0.25718979909732315,0.6996876001358032,0.04749751091003418,0.652190089225769,0.84765625,0.3571593761444092,-0.0048660957254469395,0.3620254718698561,0.265625,0.3341096043586731,-0.0037656703498214483,0.33787527470849454,0.33984375,0.5419149994850159,0.006853010971099138,0.5350619885139167,0.1875
18,20_50,0.0023760954235837687,0.27570912520352325,0.0026002039365151768,0.14481101589824155,0.8551889841017585,-0.06746588730749162,0.12084787847360556,0.8791521391330362,0.41149991623584903,0.6472874879837036,0.029349595308303833,0.6179378926753998,0.890625,0.231236070394516,-0.00300992326810956,0.23424599366262555,0.076171875,0.2169964462518692,-0.003843659535050392,0.2208401057869196,0.11328125,0.3054567575454712,0.01083983201533556,0.29461692553013563,0.0625
18,50_100,0.0007617298787022125,0.30211973210420895,0.00042968651113343623,0.36660852170238944,0.6333914782976106,-1.7959969843562416,0.12703782894105986,0.8729621710589401,0.7607906558203356,0.6472679376602173,0.043351419270038605,0.6039165183901787,0.9296875,-0.1383664458990097,-0.0004102421517018229,-0.13795620374730788,0.0078125,-0.1230926364660263,-0.0008380899089388549,-0.12225454655708745,0.01953125,-0.16628314554691315,0.00736166862770915,-0.1736448141746223,0.01171875
19,0_1,0.9808009964107214,0.05817172327906725,0.978191705886458,0.00014741668463552802,0.9998525833153644,-0.0005681547402682663,-0.00013657694932059288,1.0001364459590047,0.012142422308523177,0.7467347383499146,0.15287379920482635,0.5938609391450882,0.4765625,0.5991360545158386,0.1328088939189911,0.46632716059684753,0.55078125,0.5550727844238281,0.12549690902233124,0.4295758754014969,0.50390625,0.7084109783172607,0.11045428365468979,0.597956694662571,0.478515625
19,1_2,0.002211532532080748,0.02197988861013849,0.0026214855367692707,0.024110836932336868,0.9758891630676632,0.1374762420265881,0.08953428948908383,0.9104656606174366,0.15718311645637362,0.7141456604003906,-0.00528127932921052,0.7194269397296011,0.419921875,0.5709766745567322,0.0017353168223053217,0.5692413577344269,0.3828125,0.5268018841743469,0.0062057157047092915,0.5205961684696376,0.365234375,0.6383973956108093,0.011579281650483608,0.6268181139603257,0.326171875
19,2_5,0.00414181734907348,0.05631550224668221,0.004929858587002996,0.032694908633712966,0.9673050913662871,0.1333999421647653,0.09503337845697307,0.9049665500241558,0.18384775339604092,0.6703672409057617,0.008756022900342941,0.6616112180054188,0.583984375,0.467118501663208,-0.0019379041623324156,0.4690564058255404,0.451171875,0.4122258722782135,-0.003889774903655052,0.41611564718186855,0.431640625,0.6387808918952942,0.006692976225167513,0.6320879156701267,0.53515625
19,5_10,0.003942861118462257,0.07872606471254764,0.004685614440576065,0.04728772900737245,0.9527122709926276,0.11873027366333169,0.10103837991481625,0.8989616006666311,0.22278879743217253,0.6431103944778442,0.008899536915123463,0.6342108575627208,0.59765625,0.39740651845932007,-0.0020494102500379086,0.399455928709358,0.314453125,0.3451598882675171,-0.0007279874407686293,0.3458878757082857,0.333984375,0.5996781587600708,0.0026666733901947737,0.597011485369876,0.484375
19,10_20,0.003939628901812587,0.16645048715043337,0.004757994547763421,0.09504640619705888,0.9049535938029412,0.08708410683293916,0.13031142186062297,0.8696885112083468,0.3240818398026529,0.6155589818954468,0.02563469670712948,0.5899242851883173,0.603515625,0.35374194383621216,0.002448915969580412,0.35129302786663175,0.228515625,0.32300809025764465,-0.001834017806686461,0.3248421080643311,0.25390625,0.5067394375801086,0.011503391899168491,0.49523604568094015,0.29296875
19,20_50,0.0037274742404333917,0.3300863118637323,0.004116339127098026,0.1804197185606935,0.8195802814393065,-0.10239600167425073,0.1476959954674277,0.8523041150529251,0.46918730207308107,0.5809451341629028,0.020686659961938858,0.560258474200964,0.73046875,0.21932049095630646,-0.005169034935534,0.22448952589184046,0.09765625,0.2073013186454773,-0.003970043268054724,0.21127136191353202,0.09375,0.2753165364265442,0.005946675781160593,0.2693698606453836,0.134765625
19,50_100,0.0012308832532421587,0.2882700840418504,0.000692482871748231,0.3679633745337519,0.6320366254662481,-1.8060232950425965,0.12950210479484328,0.870497763811509,0.7630116582456865,0.5800521969795227,0.026804013177752495,0.5532481838017702,0.814453125,-0.13802704215049744,-0.002169934334233403,-0.13585710781626403,0.009765625,-0.1309022158384323,-0.0015989866806194186,-0.1293032291578129,0.025390625,-0.15386556088924408,0.007576241157948971,-0.16144180204719305,0.015625
20,0_1,0.9693909731527428,0.09592247364474853,0.9659455614891227,0.00034166251408839724,0.9996583374859116,-3.473527048522492e-05,0.0003243067291906552,0.9996756423580799,0.018487273656733312,0.7688372135162354,0.18703733384609222,0.5817998796701431,0.73828125,0.614444375038147,0.12284384667873383,0.49160052835941315,0.611328125,0.5586696863174438,0.10621798783540726,0.4524516984820366,0.482421875,0.6530925631523132,0.10222172737121582,0.5508708357810974,0.708984375
20,1_2,0.0034001825091985686,0.035461066252549175,0.0042398977468154535,0.03477000178988077,0.9652299982101192,0.17236965029486553,0.11496153140817124,0.8850383972697529,0.18979595446138373,0.7196236848831177,0.005089027341455221,0.7145346575416625,0.6796875,0.6171449422836304,-0.002015810227021575,0.619160752510652,0.435546875,0.5197615623474121,0.01736298017203808,0.502398582175374,0.388671875,0.5421992540359497,0.023194804787635803,0.5190044492483139,0.412109375
20,2_5,0.006666320686076718,0.06462735727498273,0.007743865350251523,0.0324003888173819,0.9675996111826181,0.11375639795976172,0.08559283271149459,0.9144070573698535,0.18298996260132602,0.5820696353912354,0.022889861837029457,0.5591797735542059,0.75,0.4344465732574463,0.00048284573131240904,0.4339637275261339,0.39453125,0.4123581051826477,-0.0012404503067955375,0.41359855548944324,0.44140625,0.5532209873199463,-0.008911018259823322,0.5621320055797696,0.44921875
20,5_10,0.006300284380099186,0.08844529146034229,0.007207175820583463,0.046246112053422696,0.9537538879465773,0.08698263052837923,0.08571481984562458,0.9142852019103485,0.22020108416044065,0.526076078414917,0.02413715049624443,0.5019389279186726,0.650390625,0.35356491804122925,-0.0011725925141945481,0.3547375105554238,0.2578125,0.3439934253692627,0.0010144116822630167,0.3429790136869997,0.314453125,0.5359430313110352,0.0048013669438660145,0.5311416643671691,0.388671875
20,10_20,0.006465828047556609,0.1450579958238257,0.0073903480185602685,0.07191655712410203,0.928083442875898,0.0609417635047365,0.09800472403538497,0.9019953729554454,0.2783690399548345,0.5103256106376648,0.016630949452519417,0.4936946611851454,0.712890625,0.3258158564567566,0.0022599620278924704,0.3235558944288641,0.197265625,0.32576048374176025,0.00035914051113650203,0.32540134323062375,0.23046875,0.41494426131248474,0.006623521912842989,0.40832073939964175,0.1953125
