layer,a_band,h_band,energy_fraction,a_band_adjacent_cosine,a_band_sequence_gap,a_band_sequence_accuracy
2,10_20,20_50,0.3311865258101612,0.24768903851509094,0.25328396959230304,0.248046875
2,10_20,50_100,0.4630207241475277,0.24768903851509094,0.25328396959230304,0.248046875
2,20_50,0_1,0.0067368122829745,0.11484289914369583,0.11817435221746564,0.09375
2,20_50,1_2,0.007169333503923312,0.11484289914369583,0.11817435221746564,0.09375
2,20_50,2_5,0.023378584402153346,0.11484289914369583,0.11817435221746564,0.09375
2,20_50,5_10,0.04166203497323606,0.11484289914369583,0.11817435221746564,0.09375
2,20_50,10_20,0.09086586618535546,0.11484289914369583,0.11817435221746564,0.09375
2,20_50,20_50,0.29961590623408724,0.11484289914369583,0.11817435221746564,0.09375
2,20_50,50_100,0.5305715755000318,0.11484289914369583,0.11817435221746564,0.09375
2,50_100,0_1,0.007761193123165902,-0.07906942069530487,-0.0781003410811536,0.01953125
2,50_100,1_2,0.00765861326898686,-0.07906942069530487,-0.0781003410811536,0.01953125
2,50_100,2_5,0.02449621325078419,-0.07906942069530487,-0.0781003410811536,0.01953125
2,50_100,5_10,0.04266300881234848,-0.07906942069530487,-0.0781003410811536,0.01953125
2,50_100,10_20,0.08959437688291323,-0.07906942069530487,-0.0781003410811536,0.01953125
2,50_100,20_50,0.29321897399426455,-0.07906942069530487,-0.0781003410811536,0.01953125
2,50_100,50_100,0.5346076901614896,-0.07906942069530487,-0.0781003410811536,0.01953125
3,0_1,0_1,0.23613358232580395,0.5044695734977722,0.4212307557463646,0.744140625
3,0_1,1_2,0.06101922205158196,0.5044695734977722,0.4212307557463646,0.744140625
3,0_1,2_5,0.10203498078383894,0.5044695734977722,0.4212307557463646,0.744140625
3,0_1,5_10,0.11673955043205148,0.5044695734977722,0.4212307557463646,0.744140625
3,0_1,10_20,0.12481239724328039,0.5044695734977722,0.4212307557463646,0.744140625
3,0_1,20_50,0.17923095380790927,0.5044695734977722,0.4212307557463646,0.744140625
3,0_1,50_100,0.1800295462069932,0.5044695734977722,0.4212307557463646,0.744140625
3,1_2,0_1,0.03031869015070694,0.46883624792099,0.4671784993261099,0.486328125
3,1_2,1_2,0.025094510966306917,0.46883624792099,0.4671784993261099,0.486328125
3,1_2,2_5,0.08722247189882308,0.46883624792099,0.4671784993261099,0.486328125
3,1_2,5_10,0.14279889789261968,0.46883624792099,0.4671784993261099,0.486328125
3,1_2,10_20,0.20156321984481781,0.46883624792099,0.4671784993261099,0.486328125
3,1_2,20_50,0.2754781519659994,0.46883624792099,0.4671784993261099,0.486328125
3,1_2,50_100,0.2375240624279898,0.46883624792099,0.4671784993261099,0.486328125
3,2_5,0_1,0.013913080035617429,0.36539044976234436,0.3635238806018606,0.361328125
3,2_5,1_2,0.012513487126817291,0.36539044976234436,0.3635238806018606,0.361328125
3,2_5,2_5,0.04330266895863688,0.36539044976234436,0.3635238806018606,0.361328125
3,2_5,5_10,0.08829278571501471,0.36539044976234436,0.3635238806018606,0.361328125
3,2_5,10_20,0.2112586671799603,0.36539044976234436,0.3635238806018606,0.361328125
3,2_5,20_50,0.3609596293750719,0.36539044976234436,0.3635238806018606,0.361328125
3,2_5,50_100,0.2697598204994012,0.36539044976234436,0.3635238806018606,0.361328125
3,5_10,0_1,0.006644591146255772,0.31334951519966125,0.30250361654907465,0.20703125
3,5_10,1_2,0.0070847702315769735,0.31334951519966125,0.30250361654907465,0.20703125
3,5_10,2_5,0.024546250827120066,0.31334951519966125,0.30250361654907465,0.20703125
3,5_10,5_10,0.05308942217726921,0.31334951519966125,0.30250361654907465,0.20703125
3,5_10,10_20,0.14470053312270395,0.31334951519966125,0.30250361654907465,0.20703125
3,5_10,20_50,0.41123136981624325,0.31334951519966125,0.30250361654907465,0.20703125
3,5_10,50_100,0.3527031022316585,0.31334951519966125,0.30250361654907465,0.20703125
3,10_20,0_1,0.005480326903760415,0.24585218727588654,0.2354792971163988,0.1484375
3,10_20,1_2,0.0059367884940815735,0.24585218727588654,0.2354792971163988,0.1484375
3,10_20,2_5,0.019351391999551507,0.24585218727588654,0.2354792971163988,0.1484375
3,10_20,5_10,0.04029327826646326,0.24585218727588654,0.2354792971163988,0.1484375
3,10_20,10_20,0.10641992301478338,0.24585218727588654,0.2354792971163988,0.1484375
3,10_20,20_50,0.37076049769154457,0.24585218727588654,0.2354792971163988,0.1484375
3,10_20,50_100,0.4517578487561976,0.24585218727588654,0.2354792971163988,0.1484375
3,20_50,0_1,0.005465454607112531,0.12611991167068481,0.11883122893050313,0.06640625
3,20_50,1_2,0.005900519940603007,0.12611991167068481,0.11883122893050313,0.06640625
3,20_50,2_5,0.019090958208287222,0.12611991167068481,0.11883122893050313,0.06640625
3,20_50,5_10,0.03474910372977165,0.12611991167068481,0.11883122893050313,0.06640625
3,20_50,10_20,0.08692622392643544,0.12611991167068481,0.11883122893050313,0.06640625
3,20_50,20_50,0.31290937866626145,0.12611991167068481,0.11883122893050313,0.06640625
3,20_50,50_100,0.5349583707577564,0.12611991167068481,0.11883122893050313,0.06640625
3,50_100,0_1,0.00754174087196788,-0.07433374226093292,-0.08451790176331997,0.02734375
3,50_100,1_2,0.00808888025965894,-0.07433374226093292,-0.08451790176331997,0.02734375
3,50_100,2_5,0.024792997427111624,-0.07433374226093292,-0.08451790176331997,0.02734375
3,50_100,5_10,0.042191104442241195,-0.07433374226093292,-0.08451790176331997,0.02734375
3,50_100,10_20,0.08849892389585763,-0.07433374226093292,-0.08451790176331997,0.02734375
3,50_100,20_50,0.2802507841932806,-0.07433374226093292,-0.08451790176331997,0.02734375
3,50_100,50_100,0.5486356176643334,-0.07433374226093292,-0.08451790176331997,0.02734375
4,0_1,0_1,0.14158332986637,0.526756227016449,0.45418424904346466,0.587890625
4,0_1,1_2,0.04832832687948846,0.526756227016449,0.45418424904346466,0.587890625
4,0_1,2_5,0.08448685025798972,0.526756227016449,0.45418424904346466,0.587890625
4,0_1,5_10,0.08339815496151036,0.526756227016449,0.45418424904346466,0.587890625
