model,step,band,common_stable_layers,median_geometric_G,pointwise_ci_lower,pointwise_ci_upper,simultaneous_ci_lower,simultaneous_ci_upper,log_gain_relative_to_fine_mean,haar_simultaneous_upper_q95,above_simultaneous_haar_envelope
lb,80000,F9,"1,2,3,4,5,6,7,8,9,10,11,12",0.009364566552983076,0.008874327920297522,0.009809277446368916,0.008452352972237563,0.010375230070643168,-1.4879677659313129,0.11923219077289104,False
lb,80000,F10,"1,2,3,4,5,6,7,8,9,10,11,12",0.008799073867402658,0.00852240922866863,0.009250627862012488,0.007941945602638417,0.009748707029457267,-1.5502543434264169,0.11923219077289104,False
lb,80000,F11,"1,2,3,4,5,6,7,8,9,10,11,12",0.00819438609993021,0.007891673185433924,0.008485733017379505,0.0073961611907540975,0.009078758807835445,-1.6214515191733747,0.11923219077289104,False
lb,80000,F12,"1,2,3,4,5,6,7,8,9,10,11,12",0.007984400439014295,0.0077837480572455105,0.00803984810036841,0.007206630483152416,0.008846110608774414,-1.6474111240814162,0.11923219077289104,False
decommon,30000,F1,"1,2,3,4,5,6,7,8,9,10,11,12",0.14957948882226815,0.14151587243961974,0.15354616475136795,0.1341049620888732,0.1668396390992861,1.6298408506432913,0.11338073574006557,True
decommon,30000,F2,"1,2,3,4,5,6,7,8,9,10,11,12",0.06456820992090036,0.05772499439732383,0.06481980228936415,0.057888400420176324,0.07201881036837873,0.789735084491543,0.11338073574006557,True
decommon,30000,F3,"1,2,3,4,5,6,7,8,9,10,11,12",0.0387459212191001,0.036947995565496196,0.0409518606749279,0.034737518740686764,0.04321685789717495,0.2790383927223758,0.11338073574006557,True
decommon,30000,F4,"1,2,3,4,5,6,7,8,9,10,11,12",0.027479679049630733,0.024860929921211083,0.027667869702047817,0.024636809138610428,0.030650591008852764,-0.06454031079505956,0.11338073574006557,False
decommon,30000,F5,"1,2,3,4,5,6,7,8,9,10,11,12",0.016093426499335817,0.016021995121582453,0.017534311095214614,0.014428504653722288,0.01795046560301088,-0.5995762019887785,0.11338073574006557,False
decommon,30000,F6,"1,2,3,4,5,6,7,8,9,10,11,12",0.012215362516815802,0.01202944221652355,0.013141038909126362,0.010951640095293286,0.013624907330670686,-0.8752927163458193,0.11338073574006557,False
decommon,30000,F7,"1,2,3,4,5,6,7,8,9,10,11,12",0.009802398458829773,0.009441070255489764,0.010388782078345015,0.008788305696534085,0.010933508558260887,-1.0953600021694148,0.11338073574006557,False
decommon,30000,F8,"1,2,3,4,5,6,7,8,9,10,11,12",0.008431603863985794,0.008129411314985126,0.008761597116817113,0.007559324646922309,0.009404536389123655,-1.2460000879643303,0.11338073574006557,False
decommon,30000,F9,"1,2,3,4,5,6,7,8,9,10,11,12",0.007112083065911721,0.0068032000678780605,0.007517207661275681,0.006376312938602713,0.007932754559488825,-1.416191920732876,0.11338073574006557,False
decommon,30000,F10,"1,2,3,4,5,6,7,8,9,10,11,12",0.0062972526006667235,0.006110858578647274,0.006561118823895562,0.00564577956460263,0.007023899864109361,-1.5378736553938699,0.11338073574006557,False
decommon,30000,F11,"1,2,3,4,5,6,7,8,9,10,11,12",0.00587343679757818,0.005753279458299121,0.006102155982038868,0.005265809004110961,0.006551179465152226,-1.6075471509130097,0.11338073574006557,False
decommon,30000,F12,"1,2,3,4,5,6,7,8,9,10,11,12",0.005541658515544949,0.005471615623006196,0.005748476849871205,0.004968354357860331,0.006181116903291373,-1.6656932715266828,0.11338073574006557,False
decommon,40000,F1,"1,2,3,4,5,6,7,8,9,10,11,12",0.14860313475008796,0.13944329597731744,0.15151278278060681,0.1368588575117315,0.16135522434607397,1.577556914610603,0.11735009960830212,True
decommon,40000,F2,"1,2,3,4,5,6,7,8,9,10,11,12",0.061073024794636464,0.05670520952204902,0.06312435029560745,0.05624635316230869,0.06631388788537027,0.688347963304561,0.11735009960830212,True
decommon,40000,F3,"1,2,3,4,5,6,7,8,9,10,11,12",0.04491874882424262,0.04216395427202638,0.04708536393205781,0.041368768265089624,0.04877336407519037,0.3811329634017265,0.11735009960830212,True
decommon,40000,F4,"1,2,3,4,5,6,7,8,9,10,11,12",0.028927330945603763,0.027543476668178777,0.030843574118833404,0.026641170596683812,0.031409673707830446,-0.05893545696621995,0.11735009960830212,False
