model,step,layer,control,contrast,actual_router_input_B,control_B,actual_minus_control_B
decommon,80000,5,expert_input_h_basis,H:T,3.7213130418791236,1.2358406826586383,2.485472359220485
decommon,80000,6,expert_input_h_basis,H:M,1.4532276095411307,0.6807828358581274,0.7724447736830033
decommon,80000,6,expert_input_h_basis,H:T,3.2081531629078968,0.8678383738269708,2.340314789080926
decommon,80000,7,expert_input_h_basis,H:M,1.2340372680949838,0.5713741360068217,0.6626631320881621
decommon,80000,7,expert_input_h_basis,H:T,2.3056039956262113,0.7752016355817861,1.5304023600444252
decommon,80000,8,expert_input_h_basis,H:M,1.4505806527050693,0.30172176638506704,1.1488588863200022
decommon,80000,8,expert_input_h_basis,H:T,2.498498605074658,0.3533913323211117,2.1451072727535463
decommon,80000,9,expert_input_h_basis,H:M,0.739882018477063,0.3424234439431613,0.3974585745339017
decommon,80000,9,expert_input_h_basis,H:T,1.4434267949597348,0.3512400567997612,1.0921867381599735
decommon,80000,10,expert_input_h_basis,H:M,0.8498424247949213,0.21945471457280727,0.630387710222114
decommon,80000,10,expert_input_h_basis,H:T,1.8797102196227722,0.06688432584460342,1.8128258937781687
decommon,80000,11,expert_input_h_basis,H:M,0.9271972174608084,0.3457836014989192,0.5814136159618892
decommon,80000,11,expert_input_h_basis,H:T,1.8017274251472648,0.16364149409501982,1.6380859310522449
decommon,80000,12,expert_input_h_basis,H:M,0.10900636362774595,-0.20568727923460897,0.3146936428623549
decommon,80000,12,expert_input_h_basis,H:T,1.3040174312771313,-0.3701118436238425,1.6741292749009737
lb,30000,1,expert_input_h_basis,H:M,1.6598533160403588,1.6370106071711137,0.02284270886924511
lb,30000,1,expert_input_h_basis,H:T,2.8476204308345445,2.8095728853398834,0.03804754549466116
lb,30000,2,expert_input_h_basis,H:M,2.441270418370335,0.26059987174618643,2.1806705466241487
lb,30000,2,expert_input_h_basis,H:T,3.9262222874926813,1.4562067713227638,2.4700155161699175
lb,30000,3,expert_input_h_basis,H:M,2.533306322244033,1.1483285190217531,1.3849778032222797
lb,30000,3,expert_input_h_basis,H:T,4.045452494630775,2.512975698660462,1.5324767959703127
lb,30000,4,expert_input_h_basis,H:M,2.509601627614116,0.22362679466689708,2.285974832947219
lb,30000,4,expert_input_h_basis,H:T,4.153656059406513,1.0458590436658985,3.1077970157406147
lb,30000,5,expert_input_h_basis,H:M,2.2739235678151566,0.7030831896050365,1.5708403782101201
lb,30000,5,expert_input_h_basis,H:T,4.046897129094512,1.5217216562158915,2.5251754728786207
lb,30000,6,expert_input_h_basis,H:M,2.07789819282914,0.6317662012016877,1.4461319916274524
lb,30000,6,expert_input_h_basis,H:T,3.560940603328058,1.0802607737531935,2.4806798295748647
lb,30000,7,expert_input_h_basis,H:M,1.3007902237601041,0.4864041957937811,0.8143860279663231
lb,30000,7,expert_input_h_basis,H:T,3.0496604886795184,0.6373557409581325,2.412304747721386
lb,30000,8,expert_input_h_basis,H:M,1.3029215591664756,0.46301119749471287,0.8399103616717627
lb,30000,8,expert_input_h_basis,H:T,2.6259314280298045,0.6406741558139741,1.9852572722158304
lb,30000,9,expert_input_h_basis,H:M,1.70625312843204,0.5398891554632896,1.1663639729687503
lb,30000,9,expert_input_h_basis,H:T,2.9016934954982982,0.6174449491517662,2.2842485463465323
lb,30000,10,expert_input_h_basis,H:M,1.2209554038410149,0.33818516265453913,0.8827702411864757
lb,30000,10,expert_input_h_basis,H:T,2.731674527141482,0.3081147921708857,2.4235597349705964
lb,30000,11,expert_input_h_basis,H:M,1.1564331183738061,0.08019822915959356,1.0762348892142126
lb,30000,11,expert_input_h_basis,H:T,2.2753904165815357,-0.11468189944982926,2.390072316031365
lb,30000,12,expert_input_h_basis,H:M,1.5814120263804345,-0.07012856693216125,1.6515405933125957
