model,step,layer,control,contrast,actual_router_input_B,control_B,actual_minus_control_B
lb,20000,11,expert_input_h_basis,H:T,2.6699119053060913,0.012911955764961925,2.6569999495411296
lb,20000,12,expert_input_h_basis,H:M,1.7869271919037422,0.004814670498275606,1.7821125214054665
lb,20000,12,expert_input_h_basis,H:T,3.1706938382545626,-0.23515202557302883,3.4058458638275915
lb,30000,1,expert_input_h_basis,H:M,1.6598533160403588,1.6370106071711137,0.02284270886924511
lb,30000,1,expert_input_h_basis,H:T,2.8476204308345445,2.8095728853398834,0.03804754549466116
lb,30000,2,expert_input_h_basis,H:M,2.441270418370335,0.26059987174618643,2.1806705466241487
lb,30000,2,expert_input_h_basis,H:T,3.9262222874926813,1.4562067713227638,2.4700155161699175
lb,30000,3,expert_input_h_basis,H:M,2.533306322244033,1.1483285190217531,1.3849778032222797
lb,30000,3,expert_input_h_basis,H:T,4.045452494630775,2.512975698660462,1.5324767959703127
lb,30000,4,expert_input_h_basis,H:M,2.509601627614116,0.22362679466689708,2.285974832947219
lb,30000,4,expert_input_h_basis,H:T,4.153656059406513,1.0458590436658985,3.1077970157406147
lb,30000,5,expert_input_h_basis,H:M,2.2739235678151566,0.7030831896050365,1.5708403782101201
lb,30000,5,expert_input_h_basis,H:T,4.046897129094512,1.5217216562158915,2.5251754728786207
lb,30000,6,expert_input_h_basis,H:M,2.07789819282914,0.6317662012016877,1.4461319916274524
lb,30000,6,expert_input_h_basis,H:T,3.560940603328058,1.0802607737531935,2.4806798295748647
lb,30000,7,expert_input_h_basis,H:M,1.3007902237601041,0.4864041957937811,0.8143860279663231
lb,30000,7,expert_input_h_basis,H:T,3.0496604886795184,0.6373557409581325,2.412304747721386
lb,30000,8,expert_input_h_basis,H:M,1.3029215591664756,0.46301119749471287,0.8399103616717627
lb,30000,8,expert_input_h_basis,H:T,2.6259314280298045,0.6406741558139741,1.9852572722158304
lb,30000,9,expert_input_h_basis,H:M,1.70625312843204,0.5398891554632896,1.1663639729687503
lb,30000,9,expert_input_h_basis,H:T,2.9016934954982982,0.6174449491517662,2.2842485463465323
lb,30000,10,expert_input_h_basis,H:M,1.2209554038410149,0.33818516265453913,0.8827702411864757
