distribution,optimizer,loss,batch,batch_size,lr,seed,common_stable_step,tail_stable_step,all_stable_step,tail_common_step_ratio,final_population_loss,final_macro_loss,final_common_loss,final_tail_loss,final_common_accuracy,final_tail_accuracy,final_all_accuracy,final_parameter_top1_energy,final_parameter_effective_rank,final_parameter_condition_nonzero,final_gradient_top1_energy,final_gradient_effective_rank,final_gradient_condition_nonzero,final_update_top1_energy,final_update_effective_rank,final_update_condition_nonzero,final_common_function_update_norm,final_tail_function_update_norm,final_tail_to_common_update_ratio,final_batch_unique_fraction,final_batch_tail_unique_fraction
zipf90,adam,raw,64,64,0.1,1,1,19,19,19.0,0.0013512206496670842,0.004296694882214069,0.0008980708080343902,0.005429569166153669,1.0,1.0,1.0,0.27072757482528687,11.542607307434082,5.278616905212402,0.3109254240989685,5.913632392883301,4.392478942871094,0.1941695213317871,11.990156173706055,6.455907344818115,0.038493864238262177,0.041206423193216324,1.0704673528671265,0.5625,0.4166666666666667
zipf90,adam,raw,64,64,0.1,2,1,25,25,25.0,0.0013396067079156637,0.004284650087356567,0.0008865229901857674,0.0054173595272004604,1.0,1.0,1.0,0.2592555582523346,11.823938369750977,4.914999961853027,0.4212329685688019,5.33489990234375,4.763251781463623,0.17818160355091095,11.95988655090332,14.278790473937988,0.038461096584796906,0.04199514910578728,1.0918864011764526,0.5625,0.4166666666666667
zipf90,adam,raw,16,16,0.1,0,1,44,44,44.0,0.001904874574393034,0.007680019363760948,0.001016390509903431,0.009901229292154312,1.0,1.0,1.0,0.28661635518074036,11.401823043823242,5.046626091003418,0.5752514004707336,2.7019877433776855,7.482576370239258,0.19967927038669586,10.510444641113281,17.915889739990234,0.04212081432342529,0.02763003669679165,0.655971109867096,0.25,0.0
zipf90,adam,raw,16,16,0.1,1,1,30,30,30.0,0.0019628764130175114,0.007704389747232199,0.0010795665439218283,0.009912665002048016,1.0,1.0,1.0,0.28363269567489624,11.436257362365723,5.063975811004639,0.7067434787750244,2.480179786682129,17.472843170166016,0.2712152302265167,8.982015609741211,395.4720153808594,0.03978922963142395,0.04511995241045952,1.1339739561080933,0.375,0.16666666666666666
zipf90,adam,raw,16,16,0.1,2,1,36,36,36.0,0.0018057748675346375,0.0069853272289037704,0.0010089206043630838,0.008977461606264114,1.0,1.0,1.0,0.2598664164543152,11.906743049621582,4.5724592208862305,0.5738513469696045,2.985933303833008,11.827091217041016,0.18473194539546967,10.206528663635254,209.76016235351562,0.043477777391672134,0.030367612838745117,0.6984628438949585,0.3125,0.08333333333333333
zipf90,adam,balanced,population,0,0.1,0,1,1,1,1.0,0.0014005484990775585,0.001337982714176178,0.001410174067132175,0.0013139188522472978,1.0,1.0,1.0,0.1348118782043457,13.293174743652344,8.536436080932617,0.10627647489309311,14.292411804199219,170326.03125,0.11780083179473877,14.01855182647705,8.352535247802734,0.03633134439587593,0.036183807998895645,0.9959391355514526,1.0,1.0
zipf90,adam,balanced,population,0,0.1,1,1,1,1,1.0,0.0014020653907209635,0.0013406539801508188,0.0014115131925791502,0.0013170341262593865,1.0,1.0,1.0,0.1347697675228119,13.29025650024414,8.542941093444824,0.10550031065940857,14.294429779052734,499155.59375,0.11782728880643845,14.020550727844238,8.37631607055664,0.03632961958646774,0.03618667647242546,0.9960653781890869,1.0,1.0
zipf90,adam,balanced,population,0,0.1,2,1,1,1,1.0,0.0013998302165418863,0.0013380125164985657,0.0014093407662585378,0.0013142364332452416,1.0,1.0,1.0,0.1349046677350998,13.296401977539062,8.4844388961792,0.10540159791707993,14.297159194946289,80744.0,0.11754721403121948,14.02448558807373,8.372419357299805,0.036319173872470856,0.03618496656417847,0.9963048100471497,1.0,1.0
zipf90,adam,balanced,64,64,0.1,0,1,11,11,11.0,0.0018277616472914815,0.002609159564599395,0.0017075466457754374,0.0029096973594278097,1.0,1.0,1.0,0.12935547530651093,13.88581657409668,3.5432257652282715,0.32118088006973267,6.278381824493408,9.842880249023438,0.14331169426441193,13.458415985107422,4.525116443634033,0.03945321589708328,0.03735543042421341,0.9468285441398621,0.6875,0.5833333333333334
zipf90,adam,balanced,64,64,0.1,1,1,5,5,5.0,0.0017936858348548412,0.0024284236133098602,0.0016960337525233626,0.002672553760930896,1.0,1.0,1.0,0.12500019371509552,13.944153785705566,3.2629151344299316,0.22819273173809052,6.258668422698975,4.1126556396484375,0.21094150841236115,11.330277442932129,9.107182502746582,0.03895234316587448,0.04144422337412834,1.0639725923538208,0.5625,0.4166666666666667
zipf90,adam,balanced,64,64,0.1,2,1,4,4,4.0,0.0017944503342732787,0.002497936598956585,0.0016862216871231794,0.002768508391454816,1.0,1.0,1.0,0.1289023905992508,13.961109161376953,3.6422030925750732,0.25727593898773193,6.438693046569824,4.532748222351074,0.1714314967393875,11.411466598510742,10.921137809753418,0.03843696415424347,0.042536213994026184,1.1066486835479736,0.5625,0.4166666666666667
zipf90,adam,balanced,16,16,0.1,0,2,41,41,20.5,0.0028608411084860563,0.005597269162535667,0.002439852338284254,0.0066497414372861385,1.0,1.0,1.0,0.16399283707141876,13.446355819702148,3.685100793838501,0.5392269492149353,2.6707592010498047,7.890415668487549,0.1580491065979004,10.86368465423584,35.501708984375,0.04177737608551979,0.026237592101097107,0.6280335187911987,0.25,0.0
